score,price,bedrooms,neighborhood,distance_miles,posted_date,title,url,description
43,855,0,Financial District,1.54,2026-06-18,Spacious Home with Modern Upgrades,https://longisland.craigslist.org/apa/d/new-york-spacious-home-with-modern/7941897088.html,"Located in the heart of the Financial District, this well-positioned building places residents close to some of Lower Manhattan’s best dining, shopping, and historic landmarks. Just steps from the Ful"
34,1165,1,Forest Hills,2.06,2026-06-19,"Spacious, newly renovated 1-bedroom apartment",https://albany.craigslist.org/apa/d/new-york-spacious-newly-renovated/7941934196.html,"Spacious, newly renovated 1-bedroom apartment located on the 2nd floor of a well-maintained building on Metropolitan Avenue in Forest Hills. The unit features stainless steel appliances, a washer and "
34,1165,1,Forest Hills,2.06,2026-06-19,Rental : 98-10 Metropolitan Ave,https://albany.craigslist.org/apa/d/new-york-rental-metropolitan-ave/7941933887.html,"Spacious, newly renovated 1-bedroom apartment located on the 2nd floor of a well-maintained building on Metropolitan Avenue in Forest Hills. The unit features stainless steel appliances, a washer and "
34,1165,1,Forest Hills,2.06,2026-06-19,Rental : Forest Hills,https://albany.craigslist.org/apa/d/new-york-rental-forest-hills/7941934451.html,"Spacious, newly renovated 1-bedroom apartment located on the 2nd floor of a well-maintained building on Metropolitan Avenue in Forest Hills. The unit features stainless steel appliances, a washer and "
33,990,1,Crown Heights,2.24,2026-06-18,Spacious 1BR in prime Crown Heights - Luxury Building,https://hudsonvalley.craigslist.org/apa/d/brooklyn-spacious-1br-in-prime-crown/7941906613.html,"Brand new construction with clean modern finishes, light hardwood floors, stainless steel appliances, and a private balcony with open Brooklyn views. The layout is smart and airy, with big windows thr"
26,1160,2,Bedstuy,2.44,2026-06-18,Luxury 2 Bed / 1 Bath – Private Balcony + Floor-to-Ceiling Windows,https://longisland.craigslist.org/apa/d/brooklyn-luxury-bed-bath-private/7941897091.html,"Experience elevated Brooklyn living in this stunning 2 bedroom / 1 bathroom apartment at 869 Park Avenue. Perfectly positioned where Bed-Stuy, Bushwick, and East Williamsburg meet, this modern residen"
20,1105,2,,3.11,2026-06-19,Renovated 2BR/1.5BA in Prime East Village with In-Unit Laundry,https://longisland.craigslist.org/apa/d/new-york-renovated-2br-15ba-in-prime/7941940679.html,"True 2-bedroom, 1.5-bath apartment in a prime East Village location, offering a blend of modern updates and classic New York charm. Recently renovated, this bright home features southern exposure, gor"
16,1380,2,East Village,2.74,2026-06-18,2 beds 2 bath NO FEE East Village JEWEL,https://longisland.craigslist.org/apa/d/new-york-beds-bath-no-fee-east-village/7941897087.html,"OPEN HOUSE June 18th Thursday 6pm Email for Attendance TRUE 2 BED 2 BATH! WASHER DRIER IN UNIT! RENT THIS GEM BEFORE IT'S GONE! Beautifully Renovated 2-Bedroom, 2-Bath in Prime East Village - Availabl"
15,1095,1,Astoria,3.70,2026-06-18,"Bright 1BR/1BA in Astoria | Great Light, Extra Storage, Prime Location",https://newyork.craigslist.org/que/apa/d/new-york-bright-1br-1ba-in-astoria/7941892917.html,"Ever notice how some apartments feel right the moment you walk in? This one-bedroom, one-bathroom apartment at 30-27 30th St, #C, Astoria, NY 11102 has that easy, comfortable feel. Sunlight pours into"
14,1275,1,Sublet Apartment,3.72,2026-06-18,1 Bedroom 1Bath Sublet unit,https://newyork.craigslist.org/brk/apa/d/brooklyn-bedroom-1bath-sublet-unit/7941866254.html,"Easy-Approval 1 Bed / 1 Bath - Pet Friendly - Great Amenities This comfortable fully Furnished 1 bedroom, 1 bathroom unit is perfect for anyone looking for a smooth, stress-free move-in process. We of"
0,,,,,2026-06-19,Bernard Brooklyn Home Brooklyn,https://amberstudent.com/places/bernard-brooklyn-home-brooklyn-2207181201880,
0,,,,,2026-06-19,Cornelius Bushwick Home Brooklyn,https://amberstudent.com/places/cornelius-bushwick-home-brooklyn-2207158468241,
0,,,,,2026-06-19,141 Hart St Brooklyn,https://amberstudent.com/places/141-hart-st-brooklyn-2305121841186?gallery=true&galleryId=267205&tab=all,
0,,,,,2026-06-19,Crown 1162 New York,https://amberstudent.com/places/crown-1162-new-york-2406222677253,
0,,,,,2026-06-19,354 93 Street Brooklyn,https://streeteasy.com/building/354-93-street-brooklyn/1?utm_campaign=rental_listing&utm_medium=share&utm_source=web&lstt=DNNub5DBsGTeGacQ3du7AsAjEFNeE4shFtRyxcgrXzpJ5YoRaqfvy78Y2M7o-Z4XwdNOakWqfQO5RTz8,
0,,,,,2026-06-19,1273 Rogers Avenue Brooklyn,https://streeteasy.com/building/1273-rogers-avenue-brooklyn/2d?utm_campaign=rental_listing&utm_medium=share&utm_source=web&lstt=NAG-7ybC-ej1nfSJB2R43dfg0fV1Af2X3bBmsVh49XnVGcBrmWCsiUACs2SP2YYaxfERq7d79NNZsaBw,
0,,,,,2026-06-19,Ttb76F5Dhiqojcpp7,https://goo.gl/maps/TTB76f5dHiQojCPP7,
0,,,,,2026-06-19,V6Nk3Bfjz8Vk2Ob56,https://maps.app.goo.gl/V6Nk3BfJz8vk2ob56,
0,1500,1,Brooklyn,4.19,2026-06-19,"1273 Rogers Avenue #2D in Flatbush, Brooklyn",https://streeteasy.com/building/1273-rogers-avenue-brooklyn/2d?utm_campaign=rental_listing&utm_medium=share&utm_source=web&lstt=7y9AK3TginYu4BbxLD_B2NEEj32YA-ktWuTZJb3NHsfJnT_rFqvjo8NzztngzrvEwV0uGcy1twseuTji,"1273 Rogers Avenue, Brooklyn, Ny, 11226: *Welcoming 1BR with Great Flow & Comfortable Everyday Living* This charming 1-bedroom home offers a layout that feels both ..."
0,1395,,Fort Hamilton,5.69,2026-06-19,"354 93rd Street #1 in Fort Hamilton, Brooklyn",https://streeteasy.com/building/354-93-street-brooklyn/1?utm_campaign=rental_listing&utm_medium=share&utm_source=web&lstt=mXMIw2l602eCDgZ8UYod8bVqGCF_D3CLiNjRkuRpdVmS4MjaoMey6kUwR4jT7eKUQ2ijXudmY27AKW1W,"354 93rd Street, Brooklyn, Ny, 11209: This 1 room studio apartment is located in a well-kept, prewar building in Bay Ridge. Enjoy a wide variety of nearby shops and ..."
0,1330,1,Brooklyn,3.05,2026-06-19,"99 Kingsland Ave for $1,330/month on PadMapper",https://www.padmapper.com/rentals/20493753p/1-bedroom-1-bath-apartment-at-99-kingsland-ave-new-york-ny-11222#back=%2Fapartments%2Fbrooklyn-ny%2Funder-1500%3Fbox%3D-74.04241%2C40.56616%2C-73.83336%2C40.73944,"99 Kingsland Ave is a 1 bed, 1 bath apartment in Williamsburg, New York. This apartment is listed for rent at $1,330/month. Search for other sublets, houses and apartment rentals in New York, then use"
