score,price,bedrooms,neighborhood,distance_miles,posted_date,title,url,description
28,1180,1,,2.60,2026-06-24,"205 N. 13th Street Las Vegas, NV, 89101 Pet Friendly",https://lasvegas.craigslist.org/apa/d/brooklyn-205-13th-street-las-vegas-nv/7943144354.html,"205 N. 13th Street Las Vegas, NV, 89101 Pet Friendly 205 N. 13th Street, 205, Las Vegas, NV 89101 1180.00 / Month 1 BEDROOMS | 1 BATHROOMS Interested? Fill out this form : https://renter.turbotenant.c"
28,900,1,,2.92,2026-06-24,2 bedrooms 1 bath fully renovated sunset park 4 ave 42 st,https://longisland.craigslist.org/apa/d/brooklyn-bedrooms-bath-fully-renovated/7943094471.html,2 bedrooms 1 bath fully renovated update kitchen and appliances nice size rooms spacious Text-Joseph: show contact info
20,1120,1,,3.13,2026-06-25,"#362-Beautiful, Bright, Cozy 1-bedroom available - great location!",https://newyork.craigslist.org/que/apa/d/brooklyn-362-beautiful-bright-cozy/7943199772.html,"Hey everyone, I have a really nice, bright 1-bedroom available for rent right now. The place gets awesome natural light during the day and has a great, comfortable layout. It’s been kept in excellent "
19,1500,1,Sunset Park --- --- BEST SHARE ON MARKET ---,3.56,2026-06-24,Unheard of___1br + Yard___SUNSET PARK SLOPE INDUSTRY CITY,https://newyork.craigslist.org/brk/apa/d/brooklyn-unheard-of1br-yardsunset-park/7943115495.html,"**SHARED RENTAL SPACE** Due to high demand for this listing, and to help expedite appointment scheduling, all prospective applicants must provide the following information: Providing false or misleadi"
17,1350,1,Prospect Lefferts Gardens,2.69,2026-06-24,Bright Renovated Apt Steps from Prospect Park & Major Trains,https://chicago.craigslist.org/chc/apa/d/brooklyn-bright-renovated-apt-steps/7943137789.html,"Renovated 2-Bedroom Near Prospect Park Address: 167 Sterling St, # 2 Prospect Lefferts Gardens, Brooklyn, NY 11225 Welcome home to this beautifully renovated 2-bedroom, 1-bathroom apartment at 167 Ste"
10,1150,2,Williamsburg,3.97,2026-06-24,Sun-Filled 2Bedroom Apartment with Split AC & Roof Deck Access,https://chicago.craigslist.org/chc/apa/d/brooklyn-sun-filled-2bedroom-apartment/7943141749.html,"Modern 2-Bedroom in Williamsburg Welcome home to this stylish 2-bedroom, 1-bath apartment at 431 Wythe Ave, offering modern finishes, thoughtful design, abundant natural light, and comfortable living "
0,,,,,2026-06-25,Bernard Brooklyn Home Brooklyn,https://amberstudent.com/places/bernard-brooklyn-home-brooklyn-2207181201880,
0,,,,,2026-06-25,Cornelius Bushwick Home Brooklyn,https://amberstudent.com/places/cornelius-bushwick-home-brooklyn-2207158468241,
0,,,,,2026-06-25,141 Hart St Brooklyn,https://amberstudent.com/places/141-hart-st-brooklyn-2305121841186?gallery=true&galleryId=267205&tab=all,
0,,,,,2026-06-25,Crown 1162 New York,https://amberstudent.com/places/crown-1162-new-york-2406222677253,
0,,,,,2026-06-25,354 93 Street Brooklyn,https://streeteasy.com/building/354-93-street-brooklyn/1?utm_campaign=rental_listing&utm_medium=share&utm_source=web&lstt=DNNub5DBsGTeGacQ3du7AsAjEFNeE4shFtRyxcgrXzpJ5YoRaqfvy78Y2M7o-Z4XwdNOakWqfQO5RTz8,
0,,,,,2026-06-25,1273 Rogers Avenue Brooklyn,https://streeteasy.com/building/1273-rogers-avenue-brooklyn/2d?utm_campaign=rental_listing&utm_medium=share&utm_source=web&lstt=NAG-7ybC-ej1nfSJB2R43dfg0fV1Af2X3bBmsVh49XnVGcBrmWCsiUACs2SP2YYaxfERq7d79NNZsaBw,
0,,,,,2026-06-25,Ttb76F5Dhiqojcpp7,https://goo.gl/maps/TTB76f5dHiQojCPP7,
0,,,,,2026-06-25,V6Nk3Bfjz8Vk2Ob56,https://maps.app.goo.gl/V6Nk3BfJz8vk2ob56,
0,1500,1,Brooklyn,4.19,2026-06-25,"1273 Rogers Avenue #2D in Flatbush, Brooklyn",https://streeteasy.com/building/1273-rogers-avenue-brooklyn/2d?utm_campaign=rental_listing&utm_medium=share&utm_source=web&lstt=7y9AK3TginYu4BbxLD_B2NEEj32YA-ktWuTZJb3NHsfJnT_rFqvjo8NzztngzrvEwV0uGcy1twseuTji,"1273 Rogers Avenue, Brooklyn, Ny, 11226: *Welcoming 1BR with Great Flow & Comfortable Everyday Living* This charming 1-bedroom home offers a layout that feels both ..."
0,1395,,Fort Hamilton,5.69,2026-06-25,"354 93rd Street #1 in Fort Hamilton, Brooklyn",https://streeteasy.com/building/354-93-street-brooklyn/1?utm_campaign=rental_listing&utm_medium=share&utm_source=web&lstt=mXMIw2l602eCDgZ8UYod8bVqGCF_D3CLiNjRkuRpdVmS4MjaoMey6kUwR4jT7eKUQ2ijXudmY27AKW1W,"354 93rd Street, Brooklyn, Ny, 11209: This 1 room studio apartment is located in a well-kept, prewar building in Bay Ridge. Enjoy a wide variety of nearby shops and ..."
0,1330,1,Brooklyn,3.05,2026-06-25,"99 Kingsland Ave for $1,330/month on PadMapper",https://www.padmapper.com/rentals/20493753p/1-bedroom-1-bath-apartment-at-99-kingsland-ave-new-york-ny-11222#back=%2Fapartments%2Fbrooklyn-ny%2Funder-1500%3Fbox%3D-74.04241%2C40.56616%2C-73.83336%2C40.73944,"99 Kingsland Ave is a 1 bed, 1 bath apartment in Williamsburg, New York. This apartment is listed for rent at $1,330/month. Search for other sublets, houses and apartment rentals in New York, then use"
