score,price,bedrooms,neighborhood,distance_miles,posted_date,title,url,description
45,945,1,Clinton Hill,1.12,2026-06-03,Prime Clinton Hill 1 Bed W/Backyard/Washer/Dryer/Dishwasher,https://hudsonvalley.craigslist.org/apa/d/brooklyn-prime-clinton-hill-bed/7938607653.html,Prime Clinton Hill 1BR | Private Backyard | In-Unit W/D | Dishwasher Everything you've been searching for in one apartment — without the usual trade-offs. This one-bedroom on Washington Ave (between D
40,1177,1,Brooklyn,0.87,2026-06-04,Renovated 1 Bedroom / 1 Bath – In-Unit Laundry & Convenient Location,https://newyork.craigslist.org/brk/apa/d/brooklyn-renovated-bedroom-bath-in-unit/7938685437.html,"Welcome to 259 Bergen St Apt 9, a charming 1-bedroom, 1-bath apartment located in the heart of Cobble Hill, one of Brooklyn’s most desirable neighborhoods. This inviting home offers a comfortable layo"
38,1247,1,Brooklyn,0.87,2026-06-04,Spacious 1BR Apartment w/Laundry in Unit — Bright Park Slope Location!,https://newyork.craigslist.org/brk/apa/d/brooklyn-spacious-1br-apartment-laundry/7938683878.html,"Welcome to 218 Saint John’s Place, a beautifully gut-renovated 1-bedroom in the heart of Park Slope. Features timeless finishes in a classic brownstone on a quiet block. Located just steps from Grand "
33,940,1,Brooklyn,2.30,2026-06-04,1 Bedroom Retreat w/Private Yard & Flexible Living Space,https://sfbay.craigslist.org/sfc/apa/d/brooklyn-bedroom-retreat-private-yard/7938694992.html,**~. GATED DETACHED TARZANA SEPARATE ONE BEDROOM GUEST HOUSE !!.~**$$940 **VERY PRIVATE AND QUIET ** GATED PRIVATE OWN ENTERANCE **UPSCALE / SAFE NEIGHBORHOOD *VERY BEAUTIFUL AND CLEAN THROUGH OUTA MU
27,870,1,Bed-Stuy,3.13,2026-06-04,Affordable 1 Bedroom Apartment in Bed-Stuy,https://sfbay.craigslist.org/sfc/apa/d/brooklyn-affordable-bedroom-apartment/7938705392.html,**~. GATED DETACHED TARZANA SEPARATE ONE BEDROOM GUEST HOUSE !!.~**$$870 **VERY PRIVATE AND QUIET ** GATED PRIVATE OWN ENTERANCE **UPSCALE / SAFE NEIGHBORHOOD *VERY BEAUTIFUL AND CLEAN THROUGH OUTA MU
26,900,1,Crown Heights,3.08,2026-06-04,Comfortable 1 Bedroom Apartment in Crown Heights,https://sfbay.craigslist.org/sfc/apa/d/brooklyn-comfortable-bedroom-apartment/7938705002.html,**~. GATED DETACHED TARZANA SEPARATE ONE BEDROOM GUEST HOUSE !!.~**$$900 **VERY PRIVATE AND QUIET ** GATED PRIVATE OWN ENTERANCE **UPSCALE / SAFE NEIGHBORHOOD *VERY BEAUTIFUL AND CLEAN THROUGH OUTA MU
26,900,1,Bushwick,3.13,2026-06-04,Spacious 1 Bedroom Apartment Available in Bushwick,https://sfbay.craigslist.org/sfc/apa/d/brooklyn-spacious-bedroom-apartment/7938704473.html,**~. GATED DETACHED TARZANA SEPARATE ONE BEDROOM GUEST HOUSE !!.~**$$900 **VERY PRIVATE AND QUIET ** GATED PRIVATE OWN ENTERANCE **UPSCALE / SAFE NEIGHBORHOOD *VERY BEAUTIFUL AND CLEAN THROUGH OUTA MU
21,840,1,Jersey City,3.75,2026-06-04,Sunny 1 Bedroom Condo – Oakland West,https://newjersey.craigslist.org/apa/d/jersey-city-sunny-bedroom-condo-oakland/7938691601.html,**~. GATED DETACHED TARZANA SEPARATE ONE BEDROOM GUEST HOUSE !!.~**$$840 **VERY PRIVATE AND QUIET ** GATED PRIVATE OWN ENTERANCE **UPSCALE / SAFE NEIGHBORHOOD *VERY BEAUTIFUL AND CLEAN THROUGH OUTA MU
20,974,2,CROWN HEIGHTS,3.54,2026-06-04,VERY PRIVATE AND QUIET 2 BEDROOM FOR RENT IN CROWN HEIGHTS,https://sfbay.craigslist.org/sfc/apa/d/brooklyn-very-private-and-quiet-bedroom/7938695534.html,**~. GATED DETACHED TARZANA SEPARATE ONE BEDROOM GUEST HOUSE !!.~**$$1040 **VERY PRIVATE AND QUIET ** GATED PRIVATE OWN ENTERANCE **UPSCALE / SAFE NEIGHBORHOOD *VERY BEAUTIFUL AND CLEAN THROUGH OUTA M
19,850,1,Williamsburg,3.97,2026-06-04,Modern 1 Bedroom Apartment in Williamsburg,https://sfbay.craigslist.org/sfc/apa/d/brooklyn-modern-bedroom-apartment-in/7938705934.html,**~. GATED DETACHED TARZANA SEPARATE ONE BEDROOM GUEST HOUSE !!.~**$$850 **VERY PRIVATE AND QUIET ** GATED PRIVATE OWN ENTERANCE **UPSCALE / SAFE NEIGHBORHOOD *VERY BEAUTIFUL AND CLEAN THROUGH OUTA MU
18,1200,2,Bedford,3.05,2026-06-04,*Charming apartment - Modern kitchen - brand new appliances!!*,https://longisland.craigslist.org/apa/d/brooklyn-charming-apartment-modern/7938703613.html,"SUPER SPACIOUS 2 bed 1 bath - NEWLY RENOVATED KITCHEN - Brand new appliances including dishwasher and built-in microwave. Features one XXL bedroom, a queen bedroom in addition to a bonus room (with a "
