score,price,bedrooms,neighborhood,distance_miles,posted_date,title,url,description
40,1430,1,Downtown Brooklyn,0.19,2026-06-17,Sun-Filled 677 Sq Ft Condo | Downtown Brooklyn / Cobble Hill Location!,https://newyork.craigslist.org/brk/apa/d/brooklyn-sun-filled-677-sq-ft-condo/7941508415.html,"Live in the Heart of Brooklyn's Most Desirable Neighborhoods Imagine coming home to a bright, oversized condo surrounded by the best of Brooklyn Heights, Cobble Hill, and Downtown Brooklyn. This sun-f"
34,1165,1,Forest Hills,2.06,2026-06-17,98-10 Metropolitan Avenue Apt,https://albany.craigslist.org/apa/d/new-york-metropolitan-avenue-apt/7941491515.html,"Spacious, newly renovated 1-bedroom apartment located on the 2nd floor of a well-maintained building on Metropolitan Avenue in Forest Hills. The unit features stainless steel appliances, a washer and "
34,1165,1,Forest Hills,2.06,2026-06-17,Apartment for Rent : Forest Hills,https://albany.craigslist.org/apa/d/new-york-apartment-for-rent-forest-hills/7941491181.html,"NO BROKER FEE. Spacious, newly renovated 1-bedroom apartment located on the 2nd floor of a well-maintained building on Metropolitan Avenue in Forest Hills. The unit features stainless steel appliances"
33,1233,2,"Prospect Heights, NY",1.53,2026-06-17,*SPACIOUS 2BR/1BA IN,https://longisland.craigslist.org/apa/d/brooklyn-spacious-2br-1ba-in/7941514445.html,"Each of the 2 Prospect Heights, NY apartments listed below consists of 2 beds, 1 full bath, 700 sq ft with heat, hot water and gas for cooking included in the rent, built-in wall AC and each is locate"
31,1240,2,Prospect heights,1.63,2026-06-16,"Clinton hill / Prospect Heights - Luxury 2 Bedroom /2 Bath - Gym, W/D!",https://hudsonvalley.craigslist.org/apa/d/brooklyn-clinton-hill-prospect-heights/7941463168.html,"B""H No fee Brand new luxury 2 Bed /2 Bath with in unit Washer/Dryer A gorgeous brand new luxury complex at the border of prospect Heights and Crown heights, right near the 2.3.4.5 at Easter Pkwy /Broo"
28,1025,2,Brooklyn,2.57,2026-06-17,*SUNNY AND SPACIOUS 2BR/1BA IN PRIME CROWN HEIGHTS*,https://longisland.craigslist.org/apa/d/brooklyn-sunny-and-spacious-2br-1ba-in/7941497867.html,"Classic 2BR/1BA in CROWN HEIGHTS! Prime location near great restaurants, retail stores, supermarkets, parks and Cafes just within a few minutes walk! Easy commute to the City and around Brooklyn with "
4,1500,1,Flatbush,3.56,2026-06-17,Flatbush Cozy 1BR – Comfortable City Apartment,https://newyork.craigslist.org/brk/apa/d/brooklyn-flatbush-cozy-1br-comfortable/7941517416.html,"Enjoy a cozy and well-maintained 1-bedroom, 1-bath apartment in the heart of Flatbush. This inviting home offers a comfortable layout with modern finishes and easy access to shopping, transportation, "
0,,,,,2026-06-17,Bernard Brooklyn Home Brooklyn,https://amberstudent.com/places/bernard-brooklyn-home-brooklyn-2207181201880,
0,,,,,2026-06-17,Cornelius Bushwick Home Brooklyn,https://amberstudent.com/places/cornelius-bushwick-home-brooklyn-2207158468241,
0,1500,,Kings County,2.18,2026-06-17,141 Hart St Brooklyn Student Apartments | Amber,https://amberstudent.com/places/141-hart-st-brooklyn-2305121841186?gallery=true&galleryId=267205&tab=all,"141 Hart St Brooklyn near Pratt Institute offers furnished rooms with Wi-Fi, AC, rooftop, and backyard. It is ideal for students seeking comfort and connectivity."
0,0,,Kings County,2.04,2026-06-17,Crown 1162 New York 11216 | Amber,https://amberstudent.com/places/crown-1162-new-york-2406222677253,"Crown 1162 New York features comfortable student apartments in Brooklyn near Pratt Institute with private rooms, shared spaces, premium amenities, and easy connectivity."
0,,,,,2026-06-17,354 93 Street Brooklyn,https://streeteasy.com/building/354-93-street-brooklyn/1?utm_campaign=rental_listing&utm_medium=share&utm_source=web&lstt=DNNub5DBsGTeGacQ3du7AsAjEFNeE4shFtRyxcgrXzpJ5YoRaqfvy78Y2M7o-Z4XwdNOakWqfQO5RTz8,
0,,,,,2026-06-17,1273 Rogers Avenue Brooklyn,https://streeteasy.com/building/1273-rogers-avenue-brooklyn/2d?utm_campaign=rental_listing&utm_medium=share&utm_source=web&lstt=NAG-7ybC-ej1nfSJB2R43dfg0fV1Af2X3bBmsVh49XnVGcBrmWCsiUACs2SP2YYaxfERq7d79NNZsaBw,
0,,,,,2026-06-17,Ttb76F5Dhiqojcpp7,https://goo.gl/maps/TTB76f5dHiQojCPP7,
0,,,,,2026-06-17,V6Nk3Bfjz8Vk2Ob56,https://maps.app.goo.gl/V6Nk3BfJz8vk2ob56,
0,1500,1,Brooklyn,4.19,2026-06-17,"1273 Rogers Avenue #2D in Flatbush, Brooklyn",https://streeteasy.com/building/1273-rogers-avenue-brooklyn/2d?utm_campaign=rental_listing&utm_medium=share&utm_source=web&lstt=7y9AK3TginYu4BbxLD_B2NEEj32YA-ktWuTZJb3NHsfJnT_rFqvjo8NzztngzrvEwV0uGcy1twseuTji,"1273 Rogers Avenue, Brooklyn, Ny, 11226: *Welcoming 1BR with Great Flow & Comfortable Everyday Living* This charming 1-bedroom home offers a layout that feels both ..."
0,1395,,Fort Hamilton,5.69,2026-06-17,"354 93rd Street #1 in Fort Hamilton, Brooklyn",https://streeteasy.com/building/354-93-street-brooklyn/1?utm_campaign=rental_listing&utm_medium=share&utm_source=web&lstt=mXMIw2l602eCDgZ8UYod8bVqGCF_D3CLiNjRkuRpdVmS4MjaoMey6kUwR4jT7eKUQ2ijXudmY27AKW1W,"354 93rd Street, Brooklyn, Ny, 11209: This 1 room studio apartment is located in a well-kept, prewar building in Bay Ridge. Enjoy a wide variety of nearby shops and ..."
0,1330,1,Brooklyn,3.05,2026-06-17,"99 Kingsland Ave for $1,330/month on PadMapper",https://www.padmapper.com/rentals/20493753p/1-bedroom-1-bath-apartment-at-99-kingsland-ave-new-york-ny-11222#back=%2Fapartments%2Fbrooklyn-ny%2Funder-1500%3Fbox%3D-74.04241%2C40.56616%2C-73.83336%2C40.73944,"99 Kingsland Ave is a 1 bed, 1 bath apartment in Williamsburg, New York. This apartment is listed for rent at $1,330/month. Search for other sublets, houses and apartment rentals in New York, then use"
