score,price,bedrooms,neighborhood,distance_miles,posted_date,title,url,description
40,1060,1,Lower East Side,1.83,2026-06-03,NEWLY RENOVATED 1BR with IN-UNIT LAUNDRY AND MAGNIFICENT VIEWS!,https://newyork.craigslist.org/mnh/apa/d/new-york-newly-renovated-1br-with-in/7938491071.html,Welcome to 118 Orchard a brand new boutique elevator building in the center of one of Manhattan's most storied neighborhoods the authentic and inimitable Lower East Side. 118 Orchard Street is one of 
40,1130,1,Clinton Hill,1.07,2026-06-03,Stunning Loft Studio in Clinton Hill – 14FT Ceilings & Bay Windows!,https://newyork.craigslist.org/brk/apa/d/brooklyn-stunning-loft-studio-in/7938465019.html,"Gorgeous Loft-Style Apartment with 14-Foot Ceilings in Clinton Hill Available now at 124 Willoughby Ave, this charming brownstone studio loft offers a unique blend of character, space, and convenience"
26,1157,1,Brooklyn,2.35,2026-06-03,Charming 1 Bedroom 1 Bathroom on 161 Hart St Prime Location!,https://newyork.craigslist.org/brk/apa/d/brooklyn-charming-bedroom-bathroom-on/7938462712.html,"Charming Renovated 1 Bedroom Apartment in Prime Bedford-Stuyvesant Welcome to this beautifully renovated 1-bedroom, 1-bathroom apartment located at 161 Hart St, Brooklyn, NY 11206. Combining modern up"
22,1180,1,Prospect Lefferts Gardens,2.69,2026-06-03,Sun-Drenched Massive 1BR in PLG –California King Bedroom & Huge Living,https://newyork.craigslist.org/brk/apa/d/brooklyn-sun-drenched-massive-1br-in/7938489589.html,"Amazing sunlight, massive space, and unbeatable value—this 1-bedroom at 100 Lefferts Ave, APT 6K, Prospect Lefferts Gardens, NY 11225 has it all! Enjoy a huge sun-drenched living room with oversized w"
13,1350,1,"JERSEY CITY, NJ",3.07,2026-06-02,"Convenient to everything - Walk to ferry, NYC path.",https://newjersey.craigslist.org/apa/d/jersey-city-convenient-to-everything/7938412736.html,"Stunning loft like, 825 sqft 1 br w/ home office boast of old world charm and modern updates. Located in the most sought after sections of Jersey City, Historic Paulus Hook was settled in 1642 and is "
7,1350,1,"JERSEY CITY, NJ",3.74,2026-06-02,Enjoy luxury urban living in Liberty Harbor North.,https://newjersey.craigslist.org/apa/d/jersey-city-enjoy-luxury-urban-living/7938413917.html,"Enjoy luxury urban living in Liberty Harbor North, designed by award winning Gruzen Samton Architects LLP. The Sutton is the community's premier residential condo complex. Located only a short walk to"
0,,,,,2026-06-03,Bernard Brooklyn Home Brooklyn,https://amberstudent.com/places/bernard-brooklyn-home-brooklyn-2207181201880,
0,,,,,2026-06-03,Cornelius Bushwick Home Brooklyn,https://amberstudent.com/places/cornelius-bushwick-home-brooklyn-2207158468241,
0,,,,,2026-06-03,141 Hart St Brooklyn,https://amberstudent.com/places/141-hart-st-brooklyn-2305121841186?gallery=true&galleryId=267205&tab=all,
0,,,,,2026-06-03,Crown 1162 New York,https://amberstudent.com/places/crown-1162-new-york-2406222677253,
0,,,,,2026-06-03,354 93 Street Brooklyn,https://streeteasy.com/building/354-93-street-brooklyn/1?utm_campaign=rental_listing&utm_medium=share&utm_source=web&lstt=DNNub5DBsGTeGacQ3du7AsAjEFNeE4shFtRyxcgrXzpJ5YoRaqfvy78Y2M7o-Z4XwdNOakWqfQO5RTz8,
0,,,,,2026-06-03,1273 Rogers Avenue Brooklyn,https://streeteasy.com/building/1273-rogers-avenue-brooklyn/2d?utm_campaign=rental_listing&utm_medium=share&utm_source=web&lstt=NAG-7ybC-ej1nfSJB2R43dfg0fV1Af2X3bBmsVh49XnVGcBrmWCsiUACs2SP2YYaxfERq7d79NNZsaBw,
0,,,,,2026-06-03,Ttb76F5Dhiqojcpp7,https://goo.gl/maps/TTB76f5dHiQojCPP7,
0,,,,,2026-06-03,V6Nk3Bfjz8Vk2Ob56,https://maps.app.goo.gl/V6Nk3BfJz8vk2ob56,
0,1500,1,Brooklyn,4.19,2026-06-03,"1273 Rogers Avenue #2D in Flatbush, Brooklyn",https://streeteasy.com/building/1273-rogers-avenue-brooklyn/2d?utm_campaign=rental_listing&utm_medium=share&utm_source=web&lstt=7y9AK3TginYu4BbxLD_B2NEEj32YA-ktWuTZJb3NHsfJnT_rFqvjo8NzztngzrvEwV0uGcy1twseuTji,"1273 Rogers Avenue, Brooklyn, Ny, 11226: *Welcoming 1BR with Great Flow & Comfortable Everyday Living* This charming 1-bedroom home offers a layout that feels both ..."
0,1395,,Fort Hamilton,5.69,2026-06-03,"354 93rd Street #1 in Fort Hamilton, Brooklyn",https://streeteasy.com/building/354-93-street-brooklyn/1?utm_campaign=rental_listing&utm_medium=share&utm_source=web&lstt=mXMIw2l602eCDgZ8UYod8bVqGCF_D3CLiNjRkuRpdVmS4MjaoMey6kUwR4jT7eKUQ2ijXudmY27AKW1W,"354 93rd Street, Brooklyn, Ny, 11209: This 1 room studio apartment is located in a well-kept, prewar building in Bay Ridge. Enjoy a wide variety of nearby shops and ..."
0,1330,1,Brooklyn,3.05,2026-06-03,"99 Kingsland Ave for $1,330/month on PadMapper",https://www.padmapper.com/rentals/20493753p/1-bedroom-1-bath-apartment-at-99-kingsland-ave-new-york-ny-11222#back=%2Fapartments%2Fbrooklyn-ny%2Funder-1500%3Fbox%3D-74.04241%2C40.56616%2C-73.83336%2C40.73944,"99 Kingsland Ave is a 1 bed, 1 bath apartment in Williamsburg, New York. This apartment is listed for rent at $1,330/month. Search for other sublets, houses and apartment rentals in New York, then use"
