score,price,bedrooms,neighborhood,distance_miles,posted_date,title,url,description
62,850,1,"Brooklyn, NY",0.19,2026-06-10,Large 1 bedroom 1 baths for rent immediately.,https://sfbay.craigslist.org/sfc/apa/d/brooklyn-large-bedroom-baths-for-rent/7939990395.html,"Welcome apartment to this charming 1-bedroom, 1-bath apartment, offering comfort and convenience in the heart of Brooklyn. Perfectly situated near local amenities and natural beauty, this apartment is"
53,1125,1,Brooklyn,0.26,2026-06-10,1 BEDROOM WITH AND A WINDOWED HOME OFFICE + 1 FULL BATHS,https://longisland.craigslist.org/apa/d/brooklyn-bedroom-with-and-windowed-home/7939995537.html,"This beautiful home features a king-size master bedroom with a nice size home office/study with triple exposures (south, west, and east) and has a spacious living space with an open kitchen and a priv"
53,900,1,"Brooklyn, NY",0.87,2026-06-09,**Stylish Apartment in Prime Fort Greene..,https://sfbay.craigslist.org/sfc/apa/d/brooklyn-stylish-apartment-in-prime/7939980838.html,"Perfectly positioned in the heart of Fort Greene, this building puts you steps away from the neighborhood’s best—trendy shops, destination restaurants, and cultural landmarks like the bustling weekend"
53,896,1,"Brooklyn, NY",0.87,2026-06-09,Stylish Apartment in Prime Fort Greene Location,https://sfbay.craigslist.org/sfc/apa/d/brooklyn-stylish-apartment-in-prime/7939977507.html,"Perfectly positioned in the heart of Fort Greene, this building puts you steps away from the neighborhood’s best—trendy shops, destination restaurants, and cultural landmarks like the bustling weekend"
48,1348,2,Brooklyn,0.08,2026-06-10,brand-new huge loft-style two bedroom home,https://longisland.craigslist.org/apa/d/brooklyn-brand-new-huge-loft-style-two/7940009023.html,"Be the first to call this brand-new huge loft-style two bedroom home in a striking Art Deco building. This residence blends timeless architecture with modern luxury, featuring soaring ceilings, oversi"
47,900,1,Brooklyn,1.53,2026-06-10,"Private 1-Bedroom, 1-Bathroom Apartment Ready to Move In!",https://providence.craigslist.org/apa/d/brooklyn-private-bedroom-bathroom/7939975122.html,"Spacious one Bedroom in Prime Crown Height ! Central location Spacious one bedroom, one bath one spacious kitchen n Prime Crown Heights. Directly near all the bars and restaurants on Franklyn Avenue. "
45,900,2,Crown Heights / Brooklyn,2.17,2026-06-10,"Huge Sunny Apartment, Super Location, No fees",https://newjersey.craigslist.org/apa/d/brooklyn-huge-sunny-apartment-super/7939977970.html,"Recently renovated 2 Bedroom – 1-bathroom apartment located on the border of the Crown Heights and Bed-Stuy neighborhoods of Brooklyn. This Prime location apartment is located right near the A,C train"
42,850,1,"Brooklyn, NY",2.17,2026-06-10,"1-bedroom, 1-bath apartment in Brooklyn",https://sfbay.craigslist.org/sfc/apa/d/brooklyn-bedroom-bath-apartment-in/7939995421.html,"Welcome apartment to this charming 1-bedroom, 1-bath apartment, offering comfort and convenience in the heart of Brooklyn. Perfectly situated near local amenities and natural beauty, this apartment is"
42,890,1,Williamsburg,1.97,2026-06-09,Newly Beautiful – 1BR/1BA – Williamsburg––Pets OK –NO Smoking,https://sfbay.craigslist.org/sfc/apa/d/brooklyn-newly-beautiful-1br-1ba/7939975443.html,"This Two story gem consists of an upper duplex with roofdeck potential, over the lower duplex with basement and a backyard. Either unit would work for an end user with the rental unit income covering "
41,1050,1,"New York, NY",2.20,2026-06-10,Spacious 1 Bedroom Apartment in Prime East Village,https://longisland.craigslist.org/apa/d/new-york-spacious-bedroom-apartment-in/7939995643.html,"BEST DEAL IN THE EAST VILLAGE. Around The Neighborhood: Close to all the popular nightlife such as Beauty Bar, The Belfry, The Winslow, Great Coffee shops The Bean, and more! Short proximity to the F "
41,800,1,Bushwick,2.35,2026-06-10,"44 Troutman St, Brooklyn, NY",https://sfbay.craigslist.org/sfc/apa/d/brooklyn-44-troutman-st-brooklyn-ny/7939986515.html,"Top-floor 1-bedroom apartment in Bushwick within walking distance to bus stops, restaurants, grocery stores, and coffee shops. Includes one free assigned parking space. Tenant is responsible for water"
