score,price,bedrooms,neighborhood,distance_miles,posted_date,title,url,description
57,850,1,"Brooklyn, NY",0.19,2026-06-20,Renovated 1BR Apartment with Private Balcony & Off-Street Parking,https://sfbay.craigslist.org/sfc/apa/d/brooklyn-renovated-1br-apartment-with/7942167086.html,<Suncrest Apartments ************************************* Studio with 1 Bath Now Available for Rent!! All You Need & More! ************************************* Schedule Your Free Tour Today! We are 
55,900,1,Brooklyn Heights,0.19,2026-06-20,Bright 1BR Apartment with Exposed Brick & Dishwasher,https://newjersey.craigslist.org/apa/d/brooklyn-bright-1br-apartment-with/7942139304.html,Suncrest Apartments ************************************* 1 Bedroom Now Available for Rent!! All You Need & More! ************************************* Schedule Your Free Tour Today! We are located at
39,850,1,"Williamsburg, NY",1.98,2026-06-20,"1/BD apt, W/D inside, Modern kitchen, Spacious living room",https://sfbay.craigslist.org/sfc/apa/d/brooklyn-bd-apt-d-inside-modern-kitchen/7942165993.html,<Suncrest Apartments ************************************* Studio with 1 Bath Now Available for Rent!! All You Need & More! ************************************* Schedule Your Free Tour Today! We are 
39,820,1,"Williamsburg, NY",1.95,2026-06-20,"162 Ainslie St, Williamsburg, NY",https://sfbay.craigslist.org/sfc/apa/d/brooklyn-162-ainslie-st-williamsburg-ny/7942163609.html,Suncrest Apartments ************************************* 1 Bedroom Now Available for Rent!! All You Need & More! ************* Schedule Your Free Tour Today! We are located at Bus & and Major FWYS 40
39,850,1,"Brooklyn, NY",1.98,2026-06-19,"162 Ainslie St, Williamsburg, NY",https://sfbay.craigslist.org/sfc/apa/d/brooklyn-162-ainslie-st-williamsburg-ny/7942138183.html,<Suncrest Apartments ************************************* Studio with 1 Bath Now Available for Rent!! All You Need & More! ************************************* Schedule Your Free Tour Today! We are 
38,900,2,"New York, NY",1.94,2026-06-19,🐰Beautiful 2 bedroom 1 bathroom apartment with an updated kitchen!!,https://losangeles.craigslist.org/wst/apa/d/new-york-beautiful-bedroom-bathroom/7942132590.html,Suncrest Apartments ************************************* 2 Bedroom Now Available for Rent!! All You Need & More! ************************************* Schedule Your Free Tour Today! We are located at
35,850,1,"Brooklyn, NY",2.35,2026-06-20,"Charming 1-bedroom, 1-bath home located in Brooklyn",https://sfbay.craigslist.org/sfc/apa/d/brooklyn-charming-bedroom-bath-home/7942166476.html,<Suncrest Apartments ************************************* Studio with 1 Bath Now Available for Rent!! All You Need & More! ************************************* Schedule Your Free Tour Today! We are 
34,900,1,East Village,2.33,2026-06-19,**A Best Place To Live in East Village,https://sfbay.craigslist.org/sfc/apa/d/new-york-best-place-to-live-in-east/7942139020.html,Suncrest Apartments ************************************* Studio with 1 Bath Now Available for Rent!! All You Need & More! ************************************* Schedule Your Free Tour Today! We are l
32,850,1,"New York, NY",2.65,2026-06-20,"1B/1B apt, Stainless kitchen, Pets are welcomed, Open living room",https://sfbay.craigslist.org/sfc/apa/d/new-york-1b-1b-apt-stainless-kitchen/7942164031.html,<Suncrest Apartments ************************************* Studio with 1 Bath Now Available for Rent!! All You Need & More! ************************************* Schedule Your Free Tour Today! We are 
32,840,1,Crown Heights,2.69,2026-06-20,"321 Kingston Ave, Brooklyn, NY",https://sfbay.craigslist.org/sfc/apa/d/brooklyn-321-kingston-ave-brooklyn-ny/7942156623.html,"Amazing, completely upgraded brand new ADU, in the back of a lush park like yard with stone walkways and water features. This home offers tranquility and serenity. A way to wind down at the end of the"
