score,price,bedrooms,neighborhood,distance_miles,posted_date,title,url,description
49,950,2,Brooklyn,0.70,2026-06-27,Bright 2 Bedroom Apartment with In-Unit Laundry in Brooklyn,https://longisland.craigslist.org/apa/d/brooklyn-bright-bedroom-apartment-with/7943805074.html,"Bright and well-maintained 2 bedroom, 1 bathroom apartment located on the second floor of a charming Brooklyn townhouse. This thoughtfully designed home features spacious bedrooms, abundant natural li"
47,1190,1,Boerum Hill,0.19,2026-06-28,Downtown Brooklyn / Boerum Hill 1BR – Bright Apartment on Wyckoff St,https://newyork.craigslist.org/brk/apa/d/brooklyn-downtown-brooklyn-boerum-hill/7943832115.html,"Downtown Brooklyn / Boerum Hill 1BR – Bright Apartment on Wyckoff St Welcome home to this bright and well-maintained one-bedroom apartment in the heart of Boerum Hill. Featuring modern updates, hardwo"
38,880,1,Williamsburg,1.98,2026-06-27,"Move-In Ready 1 Bed / 1 Bath Cozy Retreat | Williamsburg, Brooklyn",https://sfbay.craigslist.org/sfc/apa/d/brooklyn-move-in-ready-bed-bath-cozy/7943790439.html,"For Rent Cozy 1 Bed / 1 Bath Unit in Williamsburg, Brooklyn Enjoy comfortable living in this cozy 1-bedroom, 1-bathroom unit featuring a bright living area with a kitchenette, spacious bedroom, privat"
38,966,1,Williamsburg,1.69,2026-06-27,Charming 1BR in prime Williamsburg - Prewar,https://hudsonvalley.craigslist.org/apa/d/brooklyn-charming-1br-in-prime/7943774739.html,"Classic prewar 1.5 bedroom with warm parquet hardwood floors, tons of natural light in every room, and a real separate living room layout that actually fits furniture. Good bones, good vibes. Convenie"
29,1000,2,Brooklyn,2.52,2026-06-27,Spacious 2 Bedroom Apartment Near Prospect Park,https://longisland.craigslist.org/apa/d/brooklyn-spacious-bedroom-apartment/7943802460.html,"Spacious 2 bedroom, 1 bathroom apartment located just one block from Prospect Park and the Brooklyn Botanic Garden. This bright home features a separate living room, a separate kitchen, and windows in"
29,1000,1,Brooklyn,2.53,2026-06-27,Renovated Top Floor 1 Bedroom with Den and In Unit Laundry,https://longisland.craigslist.org/apa/d/brooklyn-renovated-top-floor-bedroom/7943793619.html,"Welcome to this beautifully renovated top-floor 1 bedroom, 1 bathroom apartment in the heart of Greenwood. Located in a charming three-story townhouse, this spacious home offers a bright and comfortab"
28,1180,1,,2.60,2026-06-27,"205 N. 13th Street Las Vegas, NV, 89101 Pet Friendly",https://lasvegas.craigslist.org/apa/d/brooklyn-205-13th-street-las-vegas-nv/7943785500.html,"205 N. 13th Street Las Vegas, NV, 89101 Pet Friendly 205 N. 13th Street, 205, Las Vegas, NV 89101 1180.00 / Month 1 BEDROOMS | 1 BATHROOMS Interested? Fill out this form : https://renter.turbotenant.c"
28,900,0,South Park Slope/Greenwood: JULY 1,2.92,2026-06-27,STUDIOS FOR $900-1000? SEND YOUR INFORMATION! READ WHOLE LISTING!,https://longisland.craigslist.org/apa/d/brooklyn-studios-for-send-your/7943750544.html,"PLEASE READ THE WHOLE LISTING & SEND YOUR INFO 👇 Looking for a STUDIO for $900-1000? YOU CAN HIRE A BROKER... We are showing studios at a lower option of $1750 if hired as a tenant’s broker vs. the ""n"
28,900,1,,2.92,2026-06-27,2 bedrooms 1 bath fully renovated sunset park 4 ave 42 st,https://longisland.craigslist.org/apa/d/brooklyn-bedrooms-bath-fully-renovated/7943740726.html,2 bedrooms 1 bath fully renovated update kitchen and appliances nice size rooms spacious Text-William:
26,900,1,Brooklyn,3.13,2026-06-27,Luxury 1 Bedroom Apartment with In-Unit Laundry in Bushwick,https://longisland.craigslist.org/apa/d/brooklyn-luxury-bedroom-apartment-with/7943801811.html,"Welcome to Central Station, a boutique luxury community in the heart of Bushwick. This modern 1 bedroom, 1 bathroom apartment features the convenience of in-unit laundry and contemporary finishes thro"
19,1357,2,Brooklyn,2.52,2026-06-28,"Spacious 2BR Near Prospect Park – No Fee, Heat & Hot Water Included",https://longisland.craigslist.org/apa/d/brooklyn-spacious-2br-near-prospect/7943811415.html,Don't miss this fantastic opportunity to rent a spacious 2-bedroom apartment in one of Brooklyn's most desirable neighborhoods. Located just one block from Prospect Park and the Brooklyn Botanic Garde
15,1410,2,"Brooklyn, NY",2.77,2026-06-28,Classic Pre-War 2BR | High Ceilings & Modern Updates,https://longisland.craigslist.org/apa/d/brooklyn-classic-pre-war-2br-high/7943817864.html,"This unit is located on the 2nd floor of a charming Pre-War building and features two large bedrooms, a spacious living room, high ceilings, wood floors, and a renovated bathroom and kitchen. It offer"
13,1100,1,Brooklyn,3.83,2026-06-27,Spacious 1 Bedroom Apartment with Hardwood Floors,https://longisland.craigslist.org/apa/d/brooklyn-spacious-bedroom-apartment/7943803109.html,"Spacious 1 bedroom, 1 bathroom apartment featuring gorgeous hardwood floors throughout, a separate kitchen, a large living room, and a generously sized bedroom. The fully tiled bathroom includes a ful"
