score,price,bedrooms,neighborhood,distance_miles,posted_date,title,url,description
39,820,1,"Williamsburg, NY",1.98,2026-06-16,"Charming 1-Bbedroom, 1-Bathroom",https://sfbay.craigslist.org/sfc/apa/d/brooklyn-charming-bbedroom-bathroom/7941286933.html,"Charming Edwardian style apartment located in Williamsburg neighborhood. The bottom-floor unit consists of a one-bedroom, one-bath flat and the top floor is a two-level, three-bedroom, two-bath unit. "
37,1300,1,Brooklyn,0.92,2026-06-16,Luxury 1BR Apartment with Floor-to-Ceiling Windows & Premium Amenities,https://longisland.craigslist.org/apa/d/brooklyn-luxury-1br-apartment-with/7941268404.html,"Welcome to this stunning modern residence featuring a bright, open layout with oversized windows that flood the home with natural light and showcase beautiful views. Enjoy a spacious living and dining"
36,1100,1,Lower East Side,1.54,2026-06-16,Renovated Ludlow Street 1BR with Outdoor Space!,https://newyork.craigslist.org/mnh/apa/d/new-york-renovated-ludlow-street-1br/7941302841.html,"Bright and renovated 1 bedroom in the heart of it all on 87 Ludlow St, Lower East Side, NY 10002, USA! Apartment Details: - Abundance of closet space with overhead storage, shelving and hanging racks "
32,840,1,"New York, NY",2.65,2026-06-16,Cozy NYC Apartment Just Steps from Dining & Transit,https://sfbay.craigslist.org/sfc/apa/d/new-york-cozy-nyc-apartment-just-steps/7941285406.html,"Charming Edwardian style apartment located in New York, NY neighborhood. The bottom-floor unit consists of a one-bedroom, one-bath flat and the top floor is a two-level, three-bedroom, two-bath unit. "
32,850,1,"New York, NY",2.65,2026-06-16,"71 E 7th St, New York, NY",https://sfbay.craigslist.org/sfc/apa/d/new-york-71-7th-st-new-york-ny/7941282244.html,"Charming Edwardian style apartment located in New York, NY neighborhood. The bottom-floor unit consists of a one-bedroom, one-bath flat and the top floor is a two-level, three-bedroom, two-bath unit. "
29,800,1,Bushwick,3.13,2026-06-16,"125 Jefferson St, Brooklyn, NY",https://sfbay.craigslist.org/sfc/apa/d/brooklyn-125-jefferson-st-brooklyn-ny/7941268028.html,"Charming Edwardian style duplex located in Bushwick neighborhood. The bottom-floor unit consists of a one-bedroom, one-bath flat and the top floor is a two-level, three-bedroom, two-bath unit. There i"
29,810,1,"Brooklyn, NY",3.13,2026-06-15,Large 1BR with Garage,https://stockton.craigslist.org/apa/d/brooklyn-large-1br-with-garage/7941262630.html,"Charming Edwardian style duplex located in neighborhood. The bottom-floor unit consists of a one-bedroom, one-bath flat and the top floor is a two-level, three-bedroom, two-bath unit. There is two-car"
28,820,1,"Bushwick, NY",3.13,2026-06-16,Spacious 1/1 Apartment in a Great Neighborhood,https://sfbay.craigslist.org/sfc/apa/d/brooklyn-spacious-1-apartment-in-great/7941291077.html,"Charming Edwardian style apartment located in Bushwick neighborhood. The bottom-floor unit consists of a one-bedroom, one-bath flat and the top floor is a two-level, three-bedroom, two-bath unit. Ther"
26,890,1,"Crown Heights, NY",3.08,2026-06-16,Beautifully 1 bedroom 1 bath – Available Now,https://sfbay.craigslist.org/sfc/apa/d/brooklyn-beautifully-bedroom-bath/7941295474.html,"Charming Edwardian style apartment located in Crown Heights, NY neighborhood. The bottom-floor unit consists of a one-bedroom, one-bath flat and the top floor is a two-level, three-bedroom, two-bath u"
26,900,1,"Crown Heights, NY",3.08,2026-06-15,'@@----Beautiful home for rent!!!,https://sfbay.craigslist.org/sfc/apa/d/brooklyn-beautiful-home-for-rent/7941261727.html,"Charming Edwardian style apartment located in Crown Heights, NY neighborhood. The bottom-floor unit consists of a one-bedroom, one-bath flat and the top floor is a two-level, three-bedroom, two-bath u"
25,930,1,"Brooklyn, NY",3.08,2026-06-15,'@@----Beautiful home for rent!!!,https://stockton.craigslist.org/apa/d/brooklyn-beautiful-home-for-rent/7941262406.html,"Charming Edwardian style duplex located in neighborhood. The bottom-floor unit consists of a one-bedroom, one-bath flat and the top floor is a two-level, three-bedroom, two-bath unit. There is two-car"
21,1500,2,,1.93,2026-06-16,"Bright 2BR Apartment with Hardwood Floors, Balcony & Central Air",https://longisland.craigslist.org/apa/d/brooklyn-bright-2br-apartment-with/7941270947.html,"This inviting 2-bedroom, 1-bath apartment offers a comfortable layout with hardwood flooring throughout and central air conditioning for year-round comfort. The home features a well-appointed kitchen "
20,860,1,Long Island City,3.80,2026-06-16,Spacious 1BR/1BA Rental in Prime Location Near Transit & Stores,https://newyork.craigslist.org/que/apa/d/long-island-city-spacious-1br-1ba/7941301916.html,"Perfectly located just two blocks from the subway, this 1-bedroom, 1-bathroom apartment offers unmatched convenience in the heart of a vibrant neighborhood. Everything you need is within easy reach, i"
19,820,1,Williamsburg,3.97,2026-06-16,"155 Wythe Ave, Brooklyn, NY",https://sfbay.craigslist.org/sfc/apa/d/brooklyn-155-wythe-ave-brooklyn-ny/7941269085.html,"Charming Edwardian style duplex located in Williamsburgl neighborhood. The bottom-floor unit consists of a one-bedroom, one-bath flat and the top floor is a two-level, three-bedroom, two-bath unit. Th"
18,1050,1,Brooklyn,3.54,2026-06-16,Beautifully 1 bedroom 1 bath – Available Now,https://newyork.craigslist.org/brk/apa/d/brooklyn-beautifully-bedroom-bath/7941288599.html,"This beautifully maintained 1-bedroom apartment in Brooklyn, available for $1,050/month, features a spacious bedroom with natural light, a bright living area, hardwood floors, a modern kitchen, and a "
16,1150,1,Sunset Park,3.40,2026-06-15,Spacious One-Bedroom Home with Hardwood Floors – Available Now!,https://newyork.craigslist.org/brk/apa/d/brooklyn-spacious-one-bedroom-home-with/7941235281.html,"Welcome home to this bright and spacious One-bedroom apartment in Sunset Park! This well-maintained residence offers abundant natural sunlight, beautiful hardwood floors, and a practical layout design"
14,1150,1,Brooklyn,3.56,2026-06-16,Charming 1BR Apartment with a Balcony,https://longisland.craigslist.org/apa/d/brooklyn-charming-1br-apartment-with/7941275662.html,"This beautiful 1-bedroom apartment features a balcony, a gorgeous kitchen, and spacious bedrooms with ample closet space and large windows that offer abundant natural light. Located in a brand-new bui"
14,1295,1,Brooklyn,3.19,2026-06-16,Sunny 1 Bedroom Apartment with King-Sized Bedroom and Separate Kitchen,https://longisland.craigslist.org/apa/d/brooklyn-sunny-bedroom-apartment-with/7941269727.html,"Bright and spacious one-bedroom apartment on the third floor of a well-maintained pre-war building. Features a king-sized bedroom, separate kitchen, sunny living room, and a full bathroom with a tub a"
13,1220,2,"Astoria, NY",3.97,2026-06-16,Two-Bedroom Apartment for Rent,https://longisland.craigslist.org/apa/d/new-york-two-bedroom-apartment-for-rent/7941303250.html,"'- Fully renovated - Queen and king sized bedrooms - Brand-new appliances - Washer and dryer in unit - Just a 5-minute walk to the M/R subway station - Utilities paid separately For more details, text "
0,,,,,2026-06-16,Bernard Brooklyn Home Brooklyn,https://amberstudent.com/places/bernard-brooklyn-home-brooklyn-2207181201880,
0,,,,,2026-06-16,Cornelius Bushwick Home Brooklyn,https://amberstudent.com/places/cornelius-bushwick-home-brooklyn-2207158468241,
0,,,,,2026-06-16,141 Hart St Brooklyn,https://amberstudent.com/places/141-hart-st-brooklyn-2305121841186?gallery=true&galleryId=267205&tab=all,
0,,,,,2026-06-16,Crown 1162 New York,https://amberstudent.com/places/crown-1162-new-york-2406222677253,
