score,price,bedrooms,neighborhood,distance_miles,posted_date,title,url,description
49,1120,1,"132 Remsen St APT 7, Brooklyn",0.19,2026-06-21,Charming studio\one bedroom Residence,https://sfbay.craigslist.org/sfc/apa/d/brooklyn-charming-studioone-bedroom/7942340241.html,Welcome to this bright studio\one bedroom residence located in a landmarked brownstone on one of Brooklyn Heights' most beautiful tree-lined blocks. Positioned on the sun-filled south side of the stre
47,1135,1,"132 Remsen St APT 7, Brooklyn",0.34,2026-06-21,Charming studio\one bedroom Residence,https://longisland.craigslist.org/apa/d/brooklyn-charming-studioone-bedroom/7942338829.html,Welcome to this bright studio\one bedroom residence located in a landmarked brownstone on one of Brooklyn Heights' most beautiful tree-lined blocks. Positioned on the sun-filled south side of the stre
40,1300,1,Brooklyn,0.61,2026-06-21,Renovated 1BR Garden Apartment on Tree-Lined Block in Cobble Hill,https://longisland.craigslist.org/apa/d/brooklyn-renovated-1br-garden-apartment/7942356792.html,"Welcome to 179 Sackett Street #2, a beautifully renovated garden-level one-bedroom apartment located in a classic brownstone in the heart of Cobble Hill, Brooklyn. Set on a picturesque tree-lined bloc"
40,1300,1,Brooklyn,0.61,2026-06-21,Renovated 1BR Garden Apartment on Tree-Lined Block in Cobble Hill,https://longisland.craigslist.org/apa/d/brooklyn-renovated-1br-garden-apartment/7942329851.html,"Welcome to 179 Sackett Street #2, a beautifully renovated garden-level one-bedroom apartment located in a classic brownstone in the heart of Cobble Hill, Brooklyn. Set on a picturesque tree-lined bloc"
39,825,1,"Williamsburg, NY",1.98,2026-06-21,Large & Bright 1 Bedroom Apartment with Hardwood Floors Great Storage,https://newjersey.craigslist.org/apa/d/brooklyn-large-bright-bedroom-apartment/7942345014.html,"Large One Bedroom Apartment located in the highly desirable Williamsburg neighborhood, just steps from Lafayette Whole Foods, shopping, dining, and public transportation. Recently updated with fresh p"
31,875,1,"New York, NY",2.65,2026-06-21,Large One Bedroom Apartment,https://newjersey.craigslist.org/apa/d/new-york-large-one-bedroom-apartment/7942344495.html,"Large One Bedroom Apartment located in the highly desirable New York, NY neighborhood, just steps from Lafayette Whole Foods, shopping, dining, and public transportation. Recently updated with fresh p"
31,1160,1,Brooklyn,1.87,2026-06-20,Renovated 1BR with Pre-War Charm in Prospect Heights,https://longisland.craigslist.org/apa/d/brooklyn-renovated-1br-with-pre-war/7942264457.html,"Beautifully updated one-bedroom apartment featuring exposed brick, hardwood floors, stainless steel appliances, and a spacious king-sized bedroom. Located in a well-maintained pre-war building near Pr"
28,850,1,"Bushwick, NY",3.13,2026-06-21,Large One Bedroom Apartment located in the highly desirable Brooklyn,https://newjersey.craigslist.org/apa/d/brooklyn-large-one-bedroom-apartment/7942345310.html,"Large One Bedroom Apartment located in the highly desirable Bushwick neighborhood, just steps from Lafayette Whole Foods, shopping, dining, and public transportation. Recently updated with fresh paint"
27,875,1,"Brooklyn, NY",3.08,2026-06-21,Luxury 1 Bedroom Apartment -1490 Pacific St,https://newjersey.craigslist.org/apa/d/brooklyn-luxury-bedroom-apartment/7942357088.html,"Large One Bedroom Apartment located in the highly desirable Brooklyn neighborhood, just steps from Lafayette Whole Foods, shopping, dining, and public transportation. Recently updated with fresh paint"
27,870,1,"Brooklyn, NY",3.13,2026-06-20,cute and cozy 1 bedroom apartment in the heart of city Brooklyn.,https://sfbay.craigslist.org/sfc/apa/d/brooklyn-cute-and-cozy-bedroom/7942335832.html,"Classic old world charm meets modern with this cute and cozy 1 bedroom apartment in the heart of city. Updated kitchen with stainless steel appliances, quartz countertops, and newer cabinets. Walkscor"
26,900,2,"Crown Heights, NY",3.08,2026-06-21,Must See Bright Remodeled Top Floor 2bd! Prime Location!,https://newjersey.craigslist.org/apa/d/brooklyn-must-see-bright-remodeled-top/7942346821.html,"Large 2 Bedroom Apartment located in the highly desirable Crown Heights, NY neighborhood, just steps from Lafayette Whole Foods, shopping, dining, and public transportation. Recently updated with fres"
25,1110,1,,3.13,2026-06-20,607- Great room/apt on Van Buren St - super close to downtown & transi,https://newyork.craigslist.org/brk/apa/d/brooklyn-607-great-room-apt-on-van/7942169679.html,"Hey everyone! We have a great private room opening up in our huge 6-bedroom, 3-bathroom apartment right on Van Buren Street. The Room: It’s a solid-sized private bedroom with great natural light and a"
24,1000,2,"New York, NY",2.99,2026-06-21,!!@!!Luxury 2 Bedroom Apartment in SoHo!@!#@!,https://newjersey.craigslist.org/apa/d/new-york-luxury-bedroom-apartment-in/7942353159.html,"Large 2 Bedroom Apartment located in the highly desirable New York neighborhood, just steps from Lafayette Whole Foods, shopping, dining, and public transportation. Recently updated with fresh paint, "
24,1000,2,"New York, NY",2.99,2026-06-21,Luxury 2 Bedroom Apartment in SoHo,https://newjersey.craigslist.org/apa/d/new-york-luxury-bedroom-apartment-in/7942348377.html,"Large 2 Bedroom Apartment located in the highly desirable New York neighborhood, just steps from Lafayette Whole Foods, shopping, dining, and public transportation. Recently updated with fresh paint, "
23,1150,2,Prospect Lefferts Gardens,2.69,2026-06-21,Spacious 2BR Duplex with Finished Basement & Rooftop Access,https://boston.craigslist.org/gbs/apa/d/brooklyn-spacious-2br-duplex-with/7942356519.html,"Spacious Rent-Stabilized 2BR Duplex with Finished Basement & Rooftop Access Welcome to this beautifully maintained rent-stabilized duplex located at 40 Sterling St, #2, in the vibrant Prospect Leffert"
23,1150,1,Prospect Lefferts Gardens,2.69,2026-06-21,Rent-Stabilized 2BR Duplex with Finished Basement & Rooftop Access,https://chicago.craigslist.org/chc/apa/d/brooklyn-rent-stabilized-2br-duplex/7942356438.html,Bright & Modern Duplex Near Prospect Park – Rent Stabilized Discover the perfect blend of space and convenience in this stylish rent-stabilized duplex apartment in the heart of Prospect Lefferts Garde
