score,price,bedrooms,neighborhood,distance_miles,posted_date,title,url,description
62,850,1,"Brooklyn, NY",0.19,2026-06-05,New 1 bedrooms and 1 bathroom fully ready!,https://sfbay.craigslist.org/sfc/apa/d/brooklyn-new-bedrooms-and-bathroom/7938925449.html,"New unite, fully remodeled throughout, move-in ready, 1 bedrooms and 1 bathroom. Dedicated 1 car parking on driveway with ample street parking available. All New: stainless steel appliances, quartz co"
53,1050,2,,0.53,2026-06-05,Sunny 2 Bedroom Apartment in Charming Boerum Hill,https://longisland.craigslist.org/apa/d/brooklyn-sunny-bedroom-apartment-in/7938915606.html,"Newly renovated 2-bedroom, 1-bath apartment in a desirable neighborhood. Features include a spacious living area, fully equipped kitchen, king-sized bedrooms, hardwood floors, and abundant natural lig"
44,850,1,"Williamsburg, NY",1.98,2026-06-05,Williamsburg - Bright & Open 1 Bedroom Apartment,https://sfbay.craigslist.org/sfc/apa/d/brooklyn-williamsburg-bright-open/7938922837.html,"New unite, fully remodeled throughout, move-in ready, 1 bedrooms and 1 bathroom. Dedicated 1 car parking on driveway with ample street parking available. All New: stainless steel appliances, quartz co"
42,1130,1,Clinton Hill,1.37,2026-06-05,Spacious & Bright 1 Bedroom w/ High Ceilings – 220 St. James Place,https://newyork.craigslist.org/brk/apa/d/brooklyn-spacious-bright-bedroom-high/7938911777.html,"Spacious & Bright 1 Bedroom / 1 Bathroom Apartment 220 St. James Place, Apt 2C, Brooklyn Welcome to this well-maintained and spacious 1-bedroom apartment located in the heart of Clinton Hill, Brooklyn"
40,850,1,"Brooklyn, NY",2.35,2026-06-05,Remodeled 1 Bedroom Apartment in Brooklyn,https://sfbay.craigslist.org/sfc/apa/d/brooklyn-remodeled-bedroom-apartment-in/7938926865.html,"New unite, fully remodeled throughout, move-in ready, 1 bedrooms and 1 bathroom. Dedicated 1 car parking on driveway with ample street parking available. All New: stainless steel appliances, quartz co"
37,850,1,"New York, NY",2.65,2026-06-05,53 E 7th St #007-Charming 1x1 -Great Area -Rent Controlled -Pets OK,https://sfbay.craigslist.org/sfc/apa/d/new-york-53-7th-st-007-charming-1x1/7938924518.html,"New unite, fully remodeled throughout, move-in ready, 1 bedrooms and 1 bathroom. Dedicated 1 car parking on driveway with ample street parking available. All New: stainless steel appliances, quartz co"
36,860,1,Greenwich Village,2.65,2026-06-05,Well Maintained Apartment in Greenwich Village,https://sfbay.craigslist.org/sfc/apa/d/new-york-well-maintained-apartment-in/7938920991.html,"New unite, fully remodeled throughout, move-in ready, 1 bedrooms and 1 bathroom. Dedicated 1 car parking on driveway with ample street parking available. All New: stainless steel appliances, quartz co"
35,1165,1,Prospect Heights,1.53,2026-06-05,Beautiful Prospect Heights Apartment – Elevator & Laundry Building!,https://newyork.craigslist.org/brk/apa/d/brooklyn-beautiful-prospect-heights/7938927791.html,"Spacious 1-Bedroom Apartment in Prospect Heights Located at 159 Eastern Parkway, Apt 6D, Prospect Heights, NY 11238, this bright and spacious one-bedroom apartment offers comfortable living in one of "
31,890,1,Crown Heights,3.08,2026-06-05,Comfortable 1 Bedroom Apartment in Crown Heights,https://sfbay.craigslist.org/sfc/apa/d/brooklyn-comfortable-bedroom-apartment/7938916985.html,"New unite, fully remodeled throughout, move-in ready, 1 bedrooms and 1 bathroom. Dedicated 1 car parking on driveway with ample street parking available. All New: stainless steel appliances, quartz co"
30,950,2,"Bushwick, NY",3.13,2026-06-05,Bushwick - Beautiful 2 Bedroom with Office - Dishwasher - No fee!!,https://sfbay.craigslist.org/sfc/apa/d/brooklyn-bushwick-beautiful-bedroom/7938912915.html,"New unite, fully remodeled throughout, move-in ready, 2 bedrooms and 1 bathroom. Dedicated 1 car parking on driveway with ample street parking available. All New: stainless steel appliances, quartz co"
29,850,1,"Brooklyn, NY",3.53,2026-06-05,"Fully remodeled 1 bedrooms and 1 bathroom, move-in ready!",https://sfbay.craigslist.org/sfc/apa/d/brooklyn-fully-remodeled-bedrooms-and/7938927591.html,"New unite, fully remodeled throughout, move-in ready, 1 bedrooms and 1 bathroom. Dedicated 1 car parking on driveway with ample street parking available. All New: stainless steel appliances, quartz co"
29,1300,1,"New York, NY",2.22,2026-06-05,Bright & Spacious 1BR Apartment Available Now,https://longisland.craigslist.org/apa/d/new-york-bright-spacious-1br-apartment/7938928343.html,"This apartment features one bedroom and one full bathroom, equipped with central air cooling. The interior showcases hardwood flooring and offers skyline city views. Notable exterior attributes includ"
