score,price,bedrooms,neighborhood,distance_miles,posted_date,title,url,description
24,1070,1,"Brooklyn,",3.33,2026-05-25,Comfortable Brooklyn Apartment Close to Everything!,https://newyork.craigslist.org/brk/apa/d/brooklyn-comfortable-brooklyn-apartment/7936630827.html,"Don’t miss this charming 2-bedroom apartment located just steps from the Prospect Ave R train and minutes from all the restaurants, cafes, shopping, and nightlife along Park Slope’s famous 5th Avenue."
22,1050,1,Crown Heights,3.08,2026-05-25,Relaxing Bright 1-Bedroom Retreat & Peaceful Living Home,https://newyork.craigslist.org/brk/apa/d/brooklyn-relaxing-bright-bedroom/7936681410.html,"Relaxing Bright 1-Bedroom Retreat & Peaceful Living Home Bright and modern 1 bedroom, 1 bathroom apartment featuring white quartz countertops and stainless steel appliances. It has split A/C units, pr"
18,1100,0,JERSEY CITY,3.28,2026-05-15,HUGE HI-CEILING LIVE/WORK LOFT - GROVE ST. PATH STATION - DOWNTOWN,https://newjersey.craigslist.org/apa/d/jersey-city-huge-hi-ceiling-live-work/7934545621.html,"HI CEILING WORK/LIVE LOFT - OPEN SPACE - DOWNTOWN EASY COMMUTE. 1/2 minute walk to Grove St. PATH station. 1 minute walk to Newark Avenue shopping district. Walk to restaurants, bars & bistros. Walk t"
