score,price,bedrooms,neighborhood,distance_miles,posted_date,title,url,description
45,830,1,Brooklyn,1.93,2026-06-05,Wow! Williamsburg 1br Available! Rooftop - Laundry in Building!,https://sfbay.craigslist.org/sby/apa/d/brooklyn-wow-williamsburg-1br-available/7939128501.html,"Charming 1-bedroom, 1-bath apartment! This apartment features hardwood flooring throughout, wall A/C, and fresh interior paint. Enjoy a private front lounge and side patio, perfect for relaxing or ent"
44,850,1,"Williamsburg, CA",1.98,2026-06-05,Wow! Williamsburg 1br Available! Rooftop - Laundry in Building!,https://sfbay.craigslist.org/sfc/apa/d/brooklyn-wow-williamsburg-1br-available/7939125931.html,"Charming 1-bedroom, 1-bath apartment! This apartment features hardwood flooring throughout, wall A/C, and fresh interior paint. Enjoy a private front lounge and side patio, perfect for relaxing or ent"
42,900,2,"Williamsburg, NY",1.98,2026-06-06,!Beautiful Clean 1 Bedroom 1 Bath Apartment!,https://sfbay.craigslist.org/sfc/apa/d/brooklyn-beautiful-clean-bedroom-bath/7939132860.html,"Charming 1-bedroom, 1-bath apartment! This apartment features hardwood flooring throughout, wall A/C, and fresh interior paint. Enjoy a private front lounge and side patio, perfect for relaxing or ent"
42,900,1,"Williamsburg, NY",1.98,2026-06-05,!Beautiful Clean 1 Bedroom 1 Bath Apartment!,https://sfbay.craigslist.org/sfc/apa/d/brooklyn-beautiful-clean-bedroom-bath/7939130625.html,"Charming 1-bedroom, 1-bath apartment! This apartment features hardwood flooring throughout, wall A/C, and fresh interior paint. Enjoy a private front lounge and side patio, perfect for relaxing or ent"
41,810,1,Bushwick,2.37,2026-06-06,This multi-family 1X1 townhouse nestled in the heart of Bushwick,https://sfbay.craigslist.org/sfc/apa/d/brooklyn-this-multi-family-1x1/7939152586.html,"Charming 1-bedroom, 1-bath apartment! This apartment features hardwood flooring throughout, wall A/C, and fresh interior paint. Enjoy a private front lounge and side patio, perfect for relaxing or ent"
40,850,1,"Brooklyn, NY",2.35,2026-06-06,"!!Charming 1-bedroom, 1-bath apartment!!",https://sfbay.craigslist.org/sfc/apa/d/brooklyn-charming-bedroom-bath-apartment/7939142743.html,"Charming 1-bedroom, 1-bath apartment! This apartment features hardwood flooring throughout, wall A/C, and fresh interior paint. Enjoy a private front lounge and side patio, perfect for relaxing or ent"
38,1247,1,Brooklyn,0.87,2026-06-05,Spacious 1BR Apartment w/Laundry in Unit — Bright Park Slope Location!,https://newyork.craigslist.org/brk/apa/d/brooklyn-spacious-1br-apartment-laundry/7939108997.html,"Spacious floor-through 1-bedroom apartment with a bonus alcove office in the heart of North Park Slope. Features two huge king-sized bedrooms, exposed brick, an open kitchen with dishwasher, and an in"
37,820,1,Brooklyn,2.69,2026-06-06,"321 Kingston Ave, Brooklyn, NY",https://sfbay.craigslist.org/sfc/apa/d/brooklyn-321-kingston-ave-brooklyn-ny/7939137266.html,"Charming 1-bedroom, 1-bath apartment! This apartment features hardwood flooring throughout, wall A/C, and fresh interior paint. Enjoy a private front lounge and side patio, perfect for relaxing or ent"
37,850,1,"New York, NY",2.65,2026-06-05,Luxury 1 Bed / 1 Bath – Full Amenity Building – NY,https://sfbay.craigslist.org/sfc/apa/d/new-york-luxury-bed-bath-full-amenity/7939128569.html,"Charming 1-bedroom, 1-bath apartment! This apartment features hardwood flooring throughout, wall A/C, and fresh interior paint. Enjoy a private front lounge and side patio, perfect for relaxing or ent"
34,800,1,"Bushwick, CA",3.13,2026-06-05,Large One Bedroom Heart of Bushwick,https://sfbay.craigslist.org/sfc/apa/d/brooklyn-large-one-bedroom-heart-of/7939126172.html,"Charming 1-bedroom, 1-bath apartment! This apartment features hardwood flooring throughout, wall A/C, and fresh interior paint. Enjoy a private front lounge and side patio, perfect for relaxing or ent"
