score,price,bedrooms,neighborhood,distance_miles,posted_date,title,url,description
39,940,1,"New York, NY",3.24,2026-06-14,"1 Bed* Apartment – 1 Bath* – New York, NY – Pets OK – No Smoking!!",https://longisland.craigslist.org/apa/d/brooklyn-bed-apartment-bath-new-york-ny/7940864924.html,"Welcome to unit 2C at Deco East, a well-maintained building located in between prime East Village and the Lower East Side. This home features exposed brick walls, hardwood flooring, a dishwasher and a"
37,900,1,"Williamsburg, NY",1.98,2026-06-14,1 Bedroom – 1 Bath – Williamsburg– Pets OK – No Smoking,https://sfbay.craigslist.org/sfc/apa/d/brooklyn-bedroom-bath-williamsburg-pets/7940859019.html,"Fabulous 1 bedroom in a classic elevator prewar Williamsburg building. EXCLUSIVE! Fully renovated with gorgeous hardwood floors Heat/Hot water included, Queen size Bedrooms, Large Living room. You'll "
37,1000,1,New York,1.71,2026-06-13,$1000/ 1 Bedroom – 1 Bath – New York– Pets OK – NO Smoking,https://longisland.craigslist.org/apa/d/new-york-bedroom-bath-new-york-pets-ok/7940673662.html,"Renovated one bedroom with hard wood floor Spacious Living Room Open Kitchen Bathroom with shower Easy access to transportation N.R.Q.#6 B.D Subway Train near by Plenty of restaurants, Bubble tea shop"
33,1150,2,"New York, NY",1.74,2026-06-14,"2 Bed* Apartment – 1 Bath* – New York, NY – Pets OK – No Smoking!!",https://longisland.craigslist.org/apa/d/new-york-bed-apartment-bath-new-york-ny/7940864918.html,"Located on Bayard Street between Baxter and Mulberry. Just 2 blocks from all major Canal Street trains - surrounded by plenty of restaurants, cool bars, and cafes. Both bedrooms can accommodate a quee"
32,850,1,"New York, NY",2.65,2026-06-14,1 Bedroom – 1 Bath – New York– Pets OK – No Smoking,https://sfbay.craigslist.org/sfc/apa/d/new-york-bedroom-bath-new-york-pets-ok/7940855710.html,"Great value! Superb XL one bedroom in Union Square / South Gramercy with new kitchen and fabulous large private terrace, wonderful light and views, Pristine modern reno, full luxe 24 hour doorman. Exc"
31,980,2,"Bushwick, NY",2.35,2026-06-14,"2 Bedrooms – 1 Bath – Bushwick, NY  – Pets OK – No Smoking",https://sfbay.craigslist.org/sfc/apa/d/brooklyn-bedrooms-bath-bushwick-ny-pets/7940859676.html,"Location, location, location! Situated in the Bushwick, NY (11206), this residence offers vibrant city living in one of San Francisco’s most historic and energetic neighborhoods. Enjoy easy access to "
28,845,1,"Crown Heights, NY",3.08,2026-06-14,1 Bedroom – 1 Bath – Crown Heights– Pets OK – No Smoking,https://sfbay.craigslist.org/sfc/apa/d/brooklyn-bedroom-bath-crown-heights/7940871290.html,"Welcome to this charming and well-maintained 1-bedroom, 1-bathroom apartment located in a convenient and desirable area of Crown Heights. This cozy residence offers a comfortable layout perfect for sm"
28,850,1,"Crown Heights, NY",3.08,2026-06-14,1 Bedroom – 1 Bath – Crown Heights– Pets OK – No Smoking,https://sfbay.craigslist.org/sfc/apa/d/brooklyn-bedroom-bath-crown-heights/7940864164.html,"Welcome to this charming and well-maintained 1-bedroom, 1-bathroom apartment located in a convenient and desirable area of Crown Heights, NY. This cozy residence offers a comfortable layout perfect fo"
27,870,1,"Bushwick, NY",3.13,2026-06-14,1 Bedroom – 1 Bath – Bushwick– Pets OK – No Smoking,https://sfbay.craigslist.org/sfc/apa/d/brooklyn-bedroom-bath-bushwick-pets-ok/7940863898.html,"Welcome to this charming and well-maintained 1-bedroom, 1-bathroom apartment located in a convenient and desirable area of Bushwick. This cozy residence offers a comfortable layout perfect for small f"
26,890,1,"Bushwick, NY",3.13,2026-06-14,1 Bedroom – 1 Bath – Bushwick– Pets OK – No Smoking.,https://sfbay.craigslist.org/sfc/apa/d/brooklyn-bedroom-bath-bushwick-pets-ok/7940870602.html,"Welcome to this charming and well-maintained 1-bedroom, 1-bathroom apartment located in a convenient and desirable area of Bushwick. This cozy residence offers a comfortable layout perfect for small f"
24,800,1,"Flatbush, NY",3.56,2026-06-14,1 Bedroom – 1 Bath – Flatbush– Pets OK – No Smoking,https://sfbay.craigslist.org/sfc/apa/d/brooklyn-bedroom-bath-flatbush-pets-ok/7940864337.html,"Welcome to this charming and well-maintained 1-bedroom, 1-bathroom apartment located in a convenient and desirable area of Flatbush. This cozy residence offers a comfortable layout perfect for small f"
24,800,2,Jersey City,3.64,2026-06-13,2br - 1 Bath – Jersey City– Pets OK – NO Smoking,https://newjersey.craigslist.org/apa/d/jersey-city-2br-bath-jersey-city-pets/7940835478.html,"Looking for a luxury 2-bedroom apartment near NYC without paying NYC prices? This 1,000+ SqFt 2-bedroom, 1-bath residence in Downtown Jersey City offers the perfect combination of space, location, and"
23,820,1,"Flatbush, NY",3.56,2026-06-14,1 Bedroom – 1 Bath – Flatbush– Pets OK – No Smoking,https://sfbay.craigslist.org/sfc/apa/d/brooklyn-bedroom-bath-flatbush-pets-ok/7940871137.html,"Welcome to this charming and well-maintained 1-bedroom, 1-bathroom apartment located in a convenient and desirable area of Flatbush. This cozy residence offers a comfortable layout perfect for small f"
21,890,2,Bedford,3.59,2026-06-14,"2 Bedrooms – 1 Bath – Bedford , NY – Pets OK – No Smoking",https://sfbay.craigslist.org/sfc/apa/d/brooklyn-bedrooms-bath-bedford-ny-pets/7940860693.html,"Location, location, location! Situated in the Bedford (11226), this residence offers vibrant city living in one of Bedford ’s most historic and energetic neighborhoods. Enjoy easy access to popular re"
21,1350,0,,2.32,2026-06-14,"Huge studio – 1 Bath – Brooklyn, NY– Pets OK – NO Smoking",https://longisland.craigslist.org/apa/d/new-york-huge-studio-bath-brooklyn-ny/7940853820.html,Huge studio apartment on Broadway Literally steps from the Hewes J/M train Heat and hot water included.. In Prime Williamsburg Close TO J/M/Z/G/L TRAINS. Apartments show way bigger in person than squa
21,899,1,"Brooklyn, NY",3.59,2026-06-13,1 Bedrooms – 1 Bath – Brooklyn– Pets OK – No Smoking,https://sfbay.craigslist.org/sfc/apa/d/brooklyn-bedrooms-bath-brooklyn-pets-ok/7940846201.html,"Location, location, location! Situated in the highly desirable NY neighborhood, this residence offers unmatched access to some of NY’s best dining, boutique shopping, cafes, and cultural attractions. "
17,1170,2,"Jersey City, NJ",3.19,2026-06-13,"Jersey City $1,170/ 2 Bedrooms – 1 Bath – Pets OK – NO Smoking",https://newjersey.craigslist.org/apa/d/jersey-city-jersey-city-bedrooms-bath/7940683590.html,"This isn't just an apartment — it's a spot in a real community. Two bright bedrooms, a fully functional kitchen, clean bathroom, and a cozy living space. Grocery stores, local restaurants, and public "
12,1400,1,"Brooklyn, NY",3.13,2026-06-14,1 Bedrooms – 1 Bath – Brooklyn– Pets OK – No Smoking,https://sfbay.craigslist.org/sfc/apa/d/brooklyn-bedrooms-bath-brooklyn-pets-ok/7940854780.html,"Location, location, location! Situated in the highly desirable NY neighborhood, this residence offers unmatched access to some of NY’s best dining, boutique shopping, cafes, and cultural attractions. "
8,1450,1,Brooklyn,3.27,2026-06-14,'- 1Bed Apartment – 1 Bath – Pets OK – No Smoking–Section 8!!!,https://longisland.craigslist.org/apa/d/brooklyn-1bed-apartment-bath-pets-ok-no/7940854150.html,"Dreamy, spacious, and perfectly sun-kissed, super-quiet 1BR, with a large private outdoor space, on a serene street in prime Flatbush, just steps away from Prospect Park, and a multitude of Cafes, res"
