score,price,bedrooms,neighborhood,distance_miles,posted_date,title,url,description
78,800,1,Cobble Hill,0.19,2026-06-15,"234 Court St, Brooklyn, NY",https://sfbay.craigslist.org/sfc/apa/d/brooklyn-234-court-st-brooklyn-ny/7941075900.html,"A must see living situation including an immaculately maintained 1 bed 1 bath home, large backyard with beautiful mature landscaping. The home features a very large primary bedroom with en suite bathr"
64,830,1,Bed-Stuy,1.53,2026-06-15,"850 Fulton St, Brooklyn, NY 11238",https://sfbay.craigslist.org/sfc/apa/d/brooklyn-850-fulton-st-brooklyn-ny-11238/7941080165.html,"A must see living situation including an immaculately maintained 1 bed 1 bath home, large backyard with beautiful mature landscaping. The home features a very large primary bedroom with en suite bathr"
61,800,1,Lower Manhattan,1.94,2026-06-15,Renovated 1 Bedroom 1 Bathroom Apartment in Nice Community,https://longisland.craigslist.org/apa/d/new-york-renovated-bedroom-bathroom/7941050423.html,"A must see living situation including an immaculately maintained 1 bed 1 bath home, large backyard with beautiful mature landscaping. The home features a very large primary bedroom with en suite bathr"
56,800,1,Bushwick,2.35,2026-06-15,"44 Troutman St, Brooklyn, NY",https://sfbay.craigslist.org/sfc/apa/d/brooklyn-44-troutman-st-brooklyn-ny/7941067110.html,"A must see living situation including an immaculately maintained 1 bed 1 bath home, large backyard with beautiful mature landscaping. The home features a very large primary bedroom with en suite bathr"
56,840,1,East Village,2.32,2026-06-15,Bright and Clean 1BR Apartment Available in East Village,https://longisland.craigslist.org/apa/d/new-york-bright-and-clean-1br-apartment/7941046737.html,"A must see living situation including an immaculately maintained 1 bed 1 bath home, large backyard with beautiful mature landscaping. The home features a very large primary bedroom with en suite bathr"
55,850,1,Bushwick,2.35,2026-06-15,Clean and Bright 1BR Apartment Near Transit,https://sfbay.craigslist.org/sfc/apa/d/brooklyn-clean-and-bright-1br-apartment/7941042893.html,"A must see living situation including an immaculately maintained 1 bed 1 bath home, large backyard with beautiful mature landscaping. The home features a very large primary bedroom with en suite bathr"
55,875,1,East Village,2.33,2026-06-15,Bright and Clean 1BR Apartment Available,https://sfbay.craigslist.org/sfc/apa/d/new-york-bright-and-clean-1br-apartment/7941037304.html,"A must see living situation including an immaculately maintained 1 bed 1 bath home, large backyard with beautiful mature landscaping. The home features a very large primary bedroom with en suite bathr"
52,830,1,"New York, NY",2.65,2026-06-15,'@@1Bd/1BA Utilities Included,https://sfbay.craigslist.org/sfc/apa/d/new-york-1bd-1ba-utilities-included/7941071974.html,"Recently remodeled 1BR 1 Bath Freshly painted apartment with custom fireplace remodeled bathroom, new flooring, Washer dryer hook ups, new LED lighting, remodeled kitchen Cabinets and countertops, cei"
52,830,1,Crown Heights,2.69,2026-06-15,"321 Kingston Ave, Brooklyn, NY",https://sfbay.craigslist.org/sfc/apa/d/brooklyn-321-kingston-ave-brooklyn-ny/7941068531.html,"A must see living situation including an immaculately maintained 1 bed 1 bath home, large backyard with beautiful mature landscaping. The home features a very large primary bedroom with en suite bathr"
52,830,1,New York,2.65,2026-06-15,"789 Broadway, New York, NY",https://sfbay.craigslist.org/sfc/apa/d/new-york-789-broadway-new-york-ny/7941057004.html,"A must see living situation including an immaculately maintained 1 bed 1 bath home, large backyard with beautiful mature landscaping. The home features a very large primary bedroom with en suite bathr"
52,850,1,"New York, NY",2.65,2026-06-15,Bright and Clean 1BR Apartment Available,https://sfbay.craigslist.org/sfc/apa/d/new-york-bright-and-clean-1br-apartment/7941054411.html,"Recently remodeled 1BR 1 Bath Freshly painted apartment with custom fireplace remodeled bathroom, new flooring, Washer dryer hook ups, new LED lighting, remodeled kitchen Cabinets and countertops, cei"
49,800,1,Bushwick,3.13,2026-06-15,"125 Jefferson St, Brooklyn, NY",https://sfbay.craigslist.org/sfc/apa/d/brooklyn-125-jefferson-st-brooklyn-ny/7941052927.html,"A must see living situation including an immaculately maintained 1 bed 1 bath home, large backyard with beautiful mature landscaping. The home features a very large primary bedroom with en suite bathr"
48,820,1,Bed-Stuy,3.13,2026-06-15,"890 Putnam Ave, Brooklyn, NY",https://sfbay.craigslist.org/sfc/apa/d/brooklyn-890-putnam-ave-brooklyn-ny/7941069066.html,"A must see living situation including an immaculately maintained 1 bed 1 bath home, large backyard with beautiful mature landscaping. The home features a very large primary bedroom with en suite bathr"
48,830,1,Crown Heights,3.08,2026-06-15,"785 Eastern Pkwy, Brooklyn, NY",https://sfbay.craigslist.org/sfc/apa/d/brooklyn-785-eastern-pkwy-brooklyn-ny/7941053570.html,"A must see living situation including an immaculately maintained 1 bed 1 bath home, large backyard with beautiful mature landscaping. The home features a very large primary bedroom with en suite bathr"
48,885,1,Greenwich Village,2.99,2026-06-15,**Nice 1 Bedroom Apartment in Port Richmond,https://sfbay.craigslist.org/sfc/apa/d/new-york-nice-bedroom-apartment-in-port/7941036912.html,"A must see living situation including an immaculately maintained 1 bed 1 bath home, large backyard with beautiful mature landscaping. The home features a very large primary bedroom with en suite bathr"
46,900,1,Bushwick,3.13,2026-06-15,Spacious 1 Bedroom Apartment Available in Bushwick,https://sfbay.craigslist.org/sfc/apa/d/brooklyn-spacious-bedroom-apartment/7941036354.html,"A must see living situation including an immaculately maintained 1 bed 1 bath home, large backyard with beautiful mature landscaping. The home features a very large primary bedroom with en suite bathr"
43,800,1,"Brooklyn, NY",3.66,2026-06-15,Sunny 1 Bed 1 Bath in heart of Bushwick,https://sfbay.craigslist.org/sfc/apa/d/brooklyn-sunny-bed-bath-in-heart-of/7941047596.html,"A must see living situation including an immaculately maintained 1 bed 1 bath home, large backyard with beautiful mature landscaping. The home features a very large primary bedroom with en suite bathr"
36,950,1,Williamsburg,3.97,2026-06-15,"155 Wythe Ave, Brooklyn, NY",https://sfbay.craigslist.org/sfc/apa/d/brooklyn-155-wythe-ave-brooklyn-ny/7941069854.html,"A must see living situation including an immaculately maintained 1 bed 1 bath home, large backyard with beautiful mature landscaping. The home features a very large primary bedroom with en suite bathr"
35,1200,2,Financial District,1.42,2026-06-15,"Brand New Development, Convertible 2 Bed",https://longisland.craigslist.org/apa/d/new-york-brand-new-development/7941048536.html,"New development! Convertible 2 bedroom, perfect for roommates! Living, re-imagined Pearl & Pine has been thoughtfully reimagined by CetraRuddy to embody the best of modern residential living and desig"
34,1165,1,Forest Hills,2.06,2026-06-15,Apartment for rent:Albany,https://albany.craigslist.org/apa/d/new-york-apartment-for-rentalbany/7941042665.html,"98-10 Metropolitan Avenue, NO BROKER FEE. Spacious, newly renovated 1-bedroom apartment located on the 2nd floor of a well-maintained building on Metropolitan Avenue in Forest Hills. The unit features"
34,1165,1,Forest Hills,2.06,2026-06-15,Apartment Rental : Forest hills,https://albany.craigslist.org/apa/d/new-york-apartment-rental-forest-hills/7941041413.html,"98-10 Metropolitan Avenue, NO BROKER FEE. Spacious, newly renovated 1-bedroom apartment located on the 2nd floor of a well-maintained building on Metropolitan Avenue in Forest Hills. The unit features"
34,1165,1,Forest Hills,2.06,2026-06-15,98-10 Metropolitan Avenue,https://albany.craigslist.org/apa/d/new-york-metropolitan-avenue/7941040900.html,"98-10 Metropolitan Avenue, NO BROKER FEE. Spacious, newly renovated 1-bedroom apartment located on the 2nd floor of a well-maintained building on Metropolitan Avenue in Forest Hills. The unit features"
33,900,2,Astoria,2.44,2026-06-15,2 bedroom for rent Astoria,https://hudsonvalley.craigslist.org/apa/d/new-york-bedroom-for-rent-astoria/7941073178.html,This is a luxurious 2 Sunny bedroom apt with closets. Available July 1st is freshly repainted prior to your move in! - includes large fridge that makes ice and dispenses filtered water! - your own pri
23,995,1,"Brooklyn, NY",3.08,2026-06-15,"✔️1BD/1BA condo in Central Brooklyn, NY💰",https://longisland.craigslist.org/apa/d/brooklyn-1bd-1ba-condo-in-central/7941031545.html,"Completely remodeled 1BD/1BA condo in Central near the restaurant, shopping, easy transportation. The condo has been completely redone with brand new pergo flooring, new paint, brand new kitchen, two "
0,,,,,2026-06-15,Bernard Brooklyn Home Brooklyn,https://amberstudent.com/places/bernard-brooklyn-home-brooklyn-2207181201880,
0,,,,,2026-06-15,Cornelius Bushwick Home Brooklyn,https://amberstudent.com/places/cornelius-bushwick-home-brooklyn-2207158468241,
0,1500,,Kings County,2.18,2026-06-15,141 Hart St Brooklyn Student Apartments | Amber,https://amberstudent.com/places/141-hart-st-brooklyn-2305121841186?gallery=true&galleryId=267205&tab=all,"141 Hart St Brooklyn near Pratt Institute offers furnished rooms with Wi-Fi, AC, rooftop, and backyard. It is ideal for students seeking comfort and connectivity."
0,,,,,2026-06-15,Crown 1162 New York,https://amberstudent.com/places/crown-1162-new-york-2406222677253,
0,,,,,2026-06-15,354 93 Street Brooklyn,https://streeteasy.com/building/354-93-street-brooklyn/1?utm_campaign=rental_listing&utm_medium=share&utm_source=web&lstt=DNNub5DBsGTeGacQ3du7AsAjEFNeE4shFtRyxcgrXzpJ5YoRaqfvy78Y2M7o-Z4XwdNOakWqfQO5RTz8,
0,,,,,2026-06-15,1273 Rogers Avenue Brooklyn,https://streeteasy.com/building/1273-rogers-avenue-brooklyn/2d?utm_campaign=rental_listing&utm_medium=share&utm_source=web&lstt=NAG-7ybC-ej1nfSJB2R43dfg0fV1Af2X3bBmsVh49XnVGcBrmWCsiUACs2SP2YYaxfERq7d79NNZsaBw,
0,,,,,2026-06-15,Ttb76F5Dhiqojcpp7,https://goo.gl/maps/TTB76f5dHiQojCPP7,
0,,,,,2026-06-15,V6Nk3Bfjz8Vk2Ob56,https://maps.app.goo.gl/V6Nk3BfJz8vk2ob56,
0,1500,1,Brooklyn,4.19,2026-06-15,"1273 Rogers Avenue #2D in Flatbush, Brooklyn",https://streeteasy.com/building/1273-rogers-avenue-brooklyn/2d?utm_campaign=rental_listing&utm_medium=share&utm_source=web&lstt=7y9AK3TginYu4BbxLD_B2NEEj32YA-ktWuTZJb3NHsfJnT_rFqvjo8NzztngzrvEwV0uGcy1twseuTji,"1273 Rogers Avenue, Brooklyn, Ny, 11226: *Welcoming 1BR with Great Flow & Comfortable Everyday Living* This charming 1-bedroom home offers a layout that feels both ..."
0,1395,,Fort Hamilton,5.69,2026-06-15,"354 93rd Street #1 in Fort Hamilton, Brooklyn",https://streeteasy.com/building/354-93-street-brooklyn/1?utm_campaign=rental_listing&utm_medium=share&utm_source=web&lstt=mXMIw2l602eCDgZ8UYod8bVqGCF_D3CLiNjRkuRpdVmS4MjaoMey6kUwR4jT7eKUQ2ijXudmY27AKW1W,"354 93rd Street, Brooklyn, Ny, 11209: This 1 room studio apartment is located in a well-kept, prewar building in Bay Ridge. Enjoy a wide variety of nearby shops and ..."
0,1330,1,Brooklyn,3.05,2026-06-15,"99 Kingsland Ave for $1,330/month on PadMapper",https://www.padmapper.com/rentals/20493753p/1-bedroom-1-bath-apartment-at-99-kingsland-ave-new-york-ny-11222#back=%2Fapartments%2Fbrooklyn-ny%2Funder-1500%3Fbox%3D-74.04241%2C40.56616%2C-73.83336%2C40.73944,"99 Kingsland Ave is a 1 bed, 1 bath apartment in Williamsburg, New York. This apartment is listed for rent at $1,330/month. Search for other sublets, houses and apartment rentals in New York, then use"
