score,price,bedrooms,neighborhood,distance_miles,posted_date,title,url,description
41,1135,1,North Park Slope,0.94,2026-06-13,Renovated 1BR in North Park Slope | 12-Ft Ceilings + Sunlight Galore!,https://newyork.craigslist.org/brk/apa/d/brooklyn-renovated-1br-in-north-park/7940668929.html,"Nestled in the heart of 446 Dean St, APT 2R, North Park Slope, NY 11217, this beautifully renovated one-bedroom apartment combines modern upgrades with classic Brooklyn charm. The apartment features a"
38,995,1,"Brooklyn, NY",1.62,2026-06-13,BRAND NEW 1BR\1BA FOR RENT in Brooklyn– Pets OK – No Smoking,https://longisland.craigslist.org/apa/d/brooklyn-brand-new-1br1ba-for-rent-in/7940661664.html,"Gorgeous brand new 1 bed/1bath apartment, Steps away from the Pratt Institute, Conveniently located close to the G train line and various bus lines for a fast and easy commute. Close to many bars rest"
37,1000,1,New York,1.71,2026-06-13,$1000/ 1 Bedroom – 1 Bath – New York– Pets OK – NO Smoking,https://longisland.craigslist.org/apa/d/new-york-bedroom-bath-new-york-pets-ok/7940673662.html,"Renovated one bedroom with hard wood floor Spacious Living Room Open Kitchen Bathroom with shower Easy access to transportation N.R.Q.#6 B.D Subway Train near by Plenty of restaurants, Bubble tea shop"
19,1500,1,Sunset Park --- --- BEST SHARE ON MARKET ---,3.56,2026-06-12,Unheard of___1br + Yard___SUNSET PARK SLOPE INDUSTRY CITY,https://newyork.craigslist.org/brk/apa/d/brooklyn-unheard-of1br-yardsunset-park/7940617670.html,"**SHARED RENTAL SPACE** Due to high demand for this listing, and to help expedite appointment scheduling, all prospective applicants must provide the following information: Providing false or misleadi"
19,1500,1,Sunset Park --- --- BEST SHARE ON MARKET ---,3.56,2026-06-12,Unheard of___1br + Yard___SUNSET PARK SLOPE INDUSTRY CITY,https://newyork.craigslist.org/brk/apa/d/brooklyn-unheard-of1br-yardsunset-park/7940617592.html,"**SHARED RENTAL SPACE** Due to high demand for this listing, and to help expedite appointment scheduling, all prospective applicants must provide the following information: Providing false or misleadi"
18,1000,1,"Brooklyn, NY",3.65,2026-06-13,$1000/ 1 Bedroom – 1 Bath – Brooklyn– Pets OK – NO Smoking,https://longisland.craigslist.org/apa/d/brooklyn-bedroom-bath-brooklyn-pets-ok/7940666580.html,"Welcome to 2915 Albemarle Rd, a luxury modern apartment in Flatbush. This sun-filled residence features oversized windows, sleek finishes, and a private terrace, perfect for stylish living. Highlights"
12,1230,1,Bushwick,3.63,2026-06-12,True 1BR in Bushwick | J Train Access + Laundry + Modern Finishes!,https://newyork.craigslist.org/brk/apa/d/brooklyn-true-1br-in-bushwick-train/7940631245.html,"Welcome to 1487 Broadway, Bushwick.11207 True 1 Bedroom off the J Line. Laundry is on site as well as bike storage. Modern fixtures, high ceilings, perks of the local neighborhood, fast commuting to M"
10,1158,1,Bushwick,3.98,2026-06-13,"Spacious Bushwick 1 Bedroom | Laundry, Pet-friendly & Dishwasher!",https://newyork.craigslist.org/brk/apa/d/brooklyn-spacious-bushwick-bedroom/7940672781.html,"1 Bed / 1 Bath in Bushwick 537 Central Ave, Apt 3F, Bushwick, NY 11207 Bright and inviting 1-bedroom apartment located in the heart of Bushwick. This well-maintained home features hardwood floors, cen"
0,,,,,2026-06-13,Bernard Brooklyn Home Brooklyn,https://amberstudent.com/places/bernard-brooklyn-home-brooklyn-2207181201880,
0,,,,,2026-06-13,Cornelius Bushwick Home Brooklyn,https://amberstudent.com/places/cornelius-bushwick-home-brooklyn-2207158468241,
0,1450,,Kings County,2.18,2026-06-13,141 Hart St Brooklyn Student Apartments | Amber,https://amberstudent.com/places/141-hart-st-brooklyn-2305121841186?gallery=true&galleryId=267205&tab=all,"141 Hart St Brooklyn near Pratt Institute offers furnished rooms with Wi-Fi, AC, rooftop, and backyard. It is ideal for students seeking comfort and connectivity."
0,,,,,2026-06-13,Crown 1162 New York,https://amberstudent.com/places/crown-1162-new-york-2406222677253,
0,,,,,2026-06-13,354 93 Street Brooklyn,https://streeteasy.com/building/354-93-street-brooklyn/1?utm_campaign=rental_listing&utm_medium=share&utm_source=web&lstt=DNNub5DBsGTeGacQ3du7AsAjEFNeE4shFtRyxcgrXzpJ5YoRaqfvy78Y2M7o-Z4XwdNOakWqfQO5RTz8,
0,,,,,2026-06-13,1273 Rogers Avenue Brooklyn,https://streeteasy.com/building/1273-rogers-avenue-brooklyn/2d?utm_campaign=rental_listing&utm_medium=share&utm_source=web&lstt=NAG-7ybC-ej1nfSJB2R43dfg0fV1Af2X3bBmsVh49XnVGcBrmWCsiUACs2SP2YYaxfERq7d79NNZsaBw,
0,,,,,2026-06-13,Ttb76F5Dhiqojcpp7,https://goo.gl/maps/TTB76f5dHiQojCPP7,
0,,,,,2026-06-13,V6Nk3Bfjz8Vk2Ob56,https://maps.app.goo.gl/V6Nk3BfJz8vk2ob56,
