score,price,bedrooms,neighborhood,distance_miles,posted_date,title,url,description
57,850,1,"Brooklyn, NY",0.19,2026-06-01,Bright 2 Bed 1 Bath Apartment – Brooklyn,https://sfbay.craigslist.org/sfc/apa/d/brooklyn-bright-bed-bath-apartment/7938022650.html,"Ready for the great apartment? Brooklyn Hills Terrace Apartments has your spacious TWO BEDROOM! We've made great upgrades for great tenants! Enjoy the quiet, peaceful lifestyle here in Woodland Hills "
57,850,1,"Brooklyn, NY",0.19,2026-06-01,"Complete Remodel! 2B/1B apt, Modern kitchen, NEW wood-style flooring",https://sfbay.craigslist.org/sfc/apa/d/brooklyn-complete-remodel-2b-1b-apt/7938022027.html,"Ready for the great apartment? Brooklyn Hills Terrace Apartments has your spacious TWO BEDROOM! We've made great upgrades for great tenants! Enjoy the quiet, peaceful lifestyle here in Woodland Hills "
48,1100,1,Brooklyn,0.26,2026-06-01,Bright Renovated 1BR/1BA in Brooklyn – Move-In Ready & Spacious,https://newyork.craigslist.org/brk/apa/d/brooklyn-bright-renovated-1br-1ba-in/7938044534.html,"A renovated 1BR/1BA apartment in Brooklyn is available now and move-in ready, offering a bright and comfortable living space with hardwood floors, large windows, and excellent natural light throughout"
44,1150,1,Clinton Hill,1.07,2026-06-01,Bright Renovated 1 Bedroom In Prime Clinton Hill | Laundry & Roof Deck,https://newyork.craigslist.org/brk/apa/d/brooklyn-bright-renovated-bedroom-in/7938030852.html,"Renovated 1 Bedroom In Prime Clinton Hill | Laundry & Roof Deck | Heat & Hot Water Included 104 Washington Ave, Apt 2R, Brooklyn, NY 11205 Welcome to this newly renovated one-bedroom apartment located"
40,818,1,Williamsburg,1.92,2026-06-01,Modern 1 Bedroom Apartment in Williamsburg,https://sfbay.craigslist.org/sfc/apa/d/brooklyn-modern-bedroom-apartment-in/7938028102.html,"Ready for the great apartment? Williamsburg Hills Terrace Apartments has your spacious TWO BEDROOM! We've made great upgrades for great tenants! Enjoy the quiet, peaceful lifestyle here in Woodland Hi"
38,865,1,"Williamsburg, NY",1.98,2026-06-01,*Beautiful 1 bed 1 bath small house!,https://sfbay.craigslist.org/sfc/apa/d/brooklyn-beautiful-bed-bath-small-house/7938000986.html,"Wonderfully updated ground floor apartment with private lounge located in the sunbelt of Williamsburg! Granite countertops, wood laminate flooring, and tile floors in bathroom, kitchen, and balcony: U"
37,1214,1,Clinton Hill,1.07,2026-06-01,"Sun-Filled Apartment | Roof Deck, Central Air & Great Location!",https://newyork.craigslist.org/brk/apa/d/brooklyn-sun-filled-apartment-roof-deck/7938041636.html,"Imagine coming home to a bright, spacious apartment in one of Brooklyn's most vibrant neighborhoods. At 97 Grand Avenue #5P, you'll find the rare combination of rent stabilization, modern amenities, a"
37,850,1,"Brooklyn, NY",2.17,2026-06-01,A New Home for the Summer! Call Now for ONE MONTH FREE!!!,https://sfbay.craigslist.org/sfc/apa/d/brooklyn-new-home-for-the-summer-call/7938033199.html,"Ready for the great apartment? Brooklyn Hills Terrace Apartments has your spacious TWO BEDROOM! We've made great upgrades for great tenants! Enjoy the quiet, peaceful lifestyle here in Woodland Hills "
37,900,1,"Williamsburg, NY",1.98,2026-05-31,"Charming 1 bedroom, 1 bath, plus loft with a car garage!",https://sfbay.craigslist.org/sfc/apa/d/brooklyn-charming-bedroom-bath-plus/7937989148.html,"Wonderfully updated ground floor apartment with private lounge located in the sunbelt of Williamsburg, NY! Granite countertops, wood laminate flooring, and tile floors in bathroom, kitchen, and balcon"
35,950,1,Brooklyn,2.09,2026-06-01,Very spacious and clean one bedroom apartment,https://longisland.craigslist.org/apa/d/brooklyn-very-spacious-and-clean-one/7937993222.html,GREAT LOCATION TOP FLOOR 1 BEDROOM with WINDOWS and CLOSETS LIVING ROOM OFFICE NUCK NICE KITCHEN TILED BA THROOM HIGH CEILINGS HARDWOOD FLOORS HEAT & HOT WATER INCLUDED Pets: OK
