score,price,bedrooms,neighborhood,distance_miles,posted_date,title,url,description
46,900,1,Brooklyn,1.07,2026-06-22,Charming and Sun-filled Studio Loft with 14-Foot Ceilings & Bay window,https://chicago.craigslist.org/chc/apa/d/brooklyn-charming-and-sun-filled-studio/7942521549.html,"Stunning Clinton Hill Studio Loft with 14-Foot Ceilings 124 Willoughby Ave, Apt 1, Brooklyn, NY Welcome to this charming and sun-filled studio loft located in a classic Brooklyn brownstone on a quiet,"
39,1000,1,"Prospect Heights, NY",1.53,2026-06-22,"Beautifully1-bedroom, 1-bath Prospect Heights, NY.",https://longisland.craigslist.org/apa/d/brooklyn-beautifully1-bedroom-bath/7942516677.html,"Updated 1-bedroom, 1-bath Prospect Heights, NY. This ground-level, end-unit offers added privacy and a large back patio ideal for relaxing or entertaining. Inside, the home features a recently remodel"
37,1020,1,Bedford-Stuyvesant,2.65,2026-06-22,Bright & Spacious Brooklyn Apartment Steps from the C Train,https://longisland.craigslist.org/apa/d/brooklyn-bright-spacious-brooklyn/7942503223.html,"Experience elevated city living in this beautifully renovated and fully furnished 1-bedroom brownstone apartment in the heart of Stuyvesant Heights. Featuring a king-size bed, designer furnishings, a "
27,900,0,LEFFERTS GARDENS,3.05,2026-06-22,SPACIOUS ROOM*NEAR SHOPS & CAFES* TRAIN 3 BLOCKS AWAY*WASHER & DRYER*,https://newyork.craigslist.org/brk/apa/d/brooklyn-spacious-roomnear-shops-cafes/7942510715.html,"*SPACIOUS ROOM IN APARTMENT, *THIS IS ONLY A ROOM /YOU SHARE KITCHEN, BATHROOM/LIVING ROOM* UNIT FULLY EQUIPPED WITH NEW APPLIANCES, HARDWOOD FLOORS, AND GREAT CLOSET SPACE! ON SITE! CONVENIENTLY LOCA"
26,950,1,Brooklyn,3.52,2026-06-22,Brand-New 1BR Apartment with Utilities Included,https://longisland.craigslist.org/apa/d/brooklyn-brand-new-1br-apartment-with/7942511248.html,"Brand-new walk-down 1 bedroom apartment featuring a bright and modern living space. Large windows bring in abundant natural light, creating an open and welcoming atmosphere. Enjoy a beautiful kitchen "
24,990,1,,3.14,2026-06-22,Modern Renovated 1BR in the Heart of Bed-Stuy,https://longisland.craigslist.org/apa/d/brooklyn-modern-renovated-1br-in-the/7942504696.html,"Discover this beautifully renovated 1-bedroom apartment in the heart of Bedford-Stuyvesant, featuring a spacious living room, queen-sized bedroom, modern kitchen with stainless steel appliances, updat"
23,1240,2,Stuyvesant Heights,2.35,2026-06-22,Bright and Spacious 2-Bedroom in Vibrant Stuyvesant Heights,https://chicago.craigslist.org/chc/apa/d/brooklyn-bright-and-spacious-bedroom-in/7942524003.html,"Welcome home to this bright and oversized 2-bedroom residence nestled in a well-maintained condo building in the heart of Brooklyn. Featuring a spacious layout, abundant natural light, and generously "
20,905,1,"Jersey City, NJ",3.74,2026-06-22,"Updated 1-bedroom, 1-bath Jersey City, NJ",https://newjersey.craigslist.org/apa/d/jersey-city-updated-bedroom-bath-jersey/7942508094.html,"Updated 1-bedroom, 1-bath Jersey City, NJ. This ground-level, end-unit offers added privacy and a large back patio ideal for relaxing or entertaining. Inside, the home features a recently remodeled ki"
19,850,1,Williamsburg,3.97,2026-06-21,Sun-Filled 2BR in Brooklyn | Modern Build & Easy Manhattan Access,https://chicago.craigslist.org/chc/apa/d/brooklyn-sun-filled-2br-in-brooklyn/7942495408.html,"Modern 2-Bedroom Apartment at 431 Wythe Ave Williamsburg Welcome to 431 Wythe Ave, a stylish 2-bedroom, 1-bath apartment offering modern finishes, thoughtful design, and a convenient location in one o"
17,1000,1,,3.73,2026-06-22,"Sunny charming 1-bedroom, 1-bath apartment with open layout",https://longisland.craigslist.org/apa/d/brooklyn-sunny-charming-bedroom-bath/7942504390.html,"Be sure to watch the video walkthrough above and explore this move-in-ready, fully renovated 1-bedroom ground-floor apartment featuring a modern kitchen with dishwasher and high-end finishes throughou"
16,1095,1,"Brooklyn, NY",3.56,2026-06-22,"Newly Renovated 1-bedroom, 1-bath Apartment",https://longisland.craigslist.org/apa/d/brooklyn-newly-renovated-bedroom-bath/7942510009.html,"Welcome to 1710 Newkirk Avenue, Apartment 3, a newly renovated 1-bedroom, 1-bath apartment in Ditmas Park, Brooklyn. Highlights include a modern kitchen with a dishwasher, an oversized living room wit"
16,1150,1,Astoria,3.94,2026-06-22,Sunny 1BR with Private Backyard & All Utilities Included,https://longisland.craigslist.org/apa/d/new-york-sunny-1br-with-private/7942496318.html,"This bright first-floor 1-bedroom apartment with a dedicated office space offers a comfortable and functional layout with abundant natural sunlight throughout. The home features tile flooring, a renov"
15,1090,1,Downtown Jersey City NJ,3.74,2026-06-21,1 Bedroom Apartment with Private Balcony,https://newjersey.craigslist.org/apa/d/jersey-city-bedroom-apartment-with/7942441111.html,"A beautifully renovated, spacious 1-bedroom apartment with a private terrace, now available for rent! Gas/ Electric/ Garbage Disposal/ Secure Package Delivery included -- with a digital access all fro"
13,1350,2,Brooklyn,3.07,2026-06-22,Renovated 2BR Apartment with Private Split-Bedroom Layout,https://longisland.craigslist.org/apa/d/brooklyn-renovated-2br-apartment-with/7942511405.html,"Beautifully renovated 2 bedroom apartment featuring a smart split-bedroom design with bedrooms located on opposite sides of the home for added privacy. The interior showcases dark wood flooring, high "
10,1450,2,Brownsville,3.62,2026-06-22,Simple & Affordable 2BR Walk-Down Unit,https://longisland.craigslist.org/apa/d/brooklyn-simple-affordable-2br-walk/7942504546.html,"Available now, this cozy walk-down 2-bedroom unit offers a simple and practical living space with all utilities included. Featuring two small bedrooms, a compact living area, and a small bathroom, it "
0,,,,,2026-06-22,Bernard Brooklyn Home Brooklyn,https://amberstudent.com/places/bernard-brooklyn-home-brooklyn-2207181201880,
0,,,,,2026-06-22,Cornelius Bushwick Home Brooklyn,https://amberstudent.com/places/cornelius-bushwick-home-brooklyn-2207158468241,
0,1500,,Kings County,2.18,2026-06-22,141 Hart St Brooklyn Student Apartments | Amber,https://amberstudent.com/places/141-hart-st-brooklyn-2305121841186?gallery=true&galleryId=267205&tab=all,"141 Hart St Brooklyn near Pratt Institute offers furnished rooms with Wi-Fi, AC, rooftop, and backyard. It is ideal for students seeking comfort and connectivity."
0,,,,,2026-06-22,Crown 1162 New York,https://amberstudent.com/places/crown-1162-new-york-2406222677253,
0,,,,,2026-06-22,354 93 Street Brooklyn,https://streeteasy.com/building/354-93-street-brooklyn/1?utm_campaign=rental_listing&utm_medium=share&utm_source=web&lstt=DNNub5DBsGTeGacQ3du7AsAjEFNeE4shFtRyxcgrXzpJ5YoRaqfvy78Y2M7o-Z4XwdNOakWqfQO5RTz8,
0,,,,,2026-06-22,1273 Rogers Avenue Brooklyn,https://streeteasy.com/building/1273-rogers-avenue-brooklyn/2d?utm_campaign=rental_listing&utm_medium=share&utm_source=web&lstt=NAG-7ybC-ej1nfSJB2R43dfg0fV1Af2X3bBmsVh49XnVGcBrmWCsiUACs2SP2YYaxfERq7d79NNZsaBw,
0,,,,,2026-06-22,Ttb76F5Dhiqojcpp7,https://goo.gl/maps/TTB76f5dHiQojCPP7,
0,,,,,2026-06-22,V6Nk3Bfjz8Vk2Ob56,https://maps.app.goo.gl/V6Nk3BfJz8vk2ob56,
