score,price,bedrooms,neighborhood,distance_miles,posted_date,title,url,description
62,850,1,"Brooklyn, NY",0.19,2026-06-07,Modern Studio with In-Unit Laundry in Desirable in Brooklyn,https://sfbay.craigslist.org/sfc/apa/d/brooklyn-modern-studio-with-in-unit/7939355551.html,"FURNISHED,1 Bedroom , Living room, Private Bathroom, Double pane windows, Granite counter tops, Gas stove ,Modern kitchen & Hardwood floors. Furnished .All you need is a bed. A peaceful sun filled com"
40,850,1,"Brooklyn, NY",2.35,2026-06-07,"In Unit Washer and Dryer, 1/BD 1/BA, Located in Brooklyn",https://sfbay.craigslist.org/sfc/apa/d/brooklyn-in-unit-washer-and-dryer-bd-ba/7939354197.html,"FURNISHED,1 Bedroom , Living room, Private Bathroom, Double pane windows, Granite counter tops, Gas stove ,Modern kitchen & Hardwood floors. Furnished .All you need is a bed. A peaceful sun filled com"
40,1177,1,Brooklyn,0.87,2026-06-06,Charming 1 Bedroom / 1 Bath – In-Unit Laundry & Convenient Location,https://newyork.craigslist.org/brk/apa/d/brooklyn-charming-bedroom-bath-in-unit/7939291349.html,"Welcome to 259 Bergen St Apt 9, a charming 1-bedroom, 1-bath apartment located in the heart of Cobble Hill, one of Brooklyn’s most desirable neighborhoods. This inviting home offers a comfortable layo"
39,1040,2,Williamsburg,1.88,2026-06-07,"🏡Williamsburg Charming 2-Bedroom, 1-Bathroom Apartment🏡",https://sfbay.craigslist.org/sfc/apa/d/brooklyn-williamsburg-charming-bedroom/7939343986.html,"Charming Renovated ,2 Bedroom , Living room, Private Bathroom, Double pane windows,Granite counter tops, Gas stove ,Modern kitchen & Hardwood floors. Furnished .All you need is a bed. A peaceful sun f"
38,840,1,Williamsburg,2.11,2026-06-06,New One bedroom with incredible PRIVATE BACKYARD in Prime Williamsburg,https://longisland.craigslist.org/apa/d/brooklyn-new-one-bedroom-with/7939244669.html,The pics speak for themselves. The building offers laundry and central air. Ready for the best Summer of your life? That backyard will help! Any questions or to schedule a showing please contact Justi
37,850,1,"New York, NY",2.65,2026-06-07,Charming 1 Bedroom in New York,https://sfbay.craigslist.org/sfc/apa/d/new-york-charming-bedroom-in-new-york/7939357206.html,"FURNISHED,1 Bedroom , Living room, Private Bathroom, Double pane windows, Granite counter tops, Gas stove ,Modern kitchen & Hardwood floors. Furnished .All you need is a bed. A peaceful sun filled com"
35,1146,2,Crown Heights,1.53,2026-06-07,Gorgeous Crown Heights Sunny 1Bed | In-Unit Laundry & Storage!,https://newyork.craigslist.org/brk/apa/d/brooklyn-gorgeous-crown-heights-sunny/7939353512.html,Welcome home to this beautifully renovated 1-bedroom apartment located on one of Brooklyn's most sought-after blocks—Prime Franklin Avenue between Park Place and Sterling Place. This charming home fea
34,1200,2,Lower East Side,1.54,2026-06-07,"Gorgeous Downtown Studio on LES – High Ceilings, W&D, Sunny Exposure",https://newyork.craigslist.org/mnh/apa/d/new-york-gorgeous-downtown-studio-on/7939360390.html,Experience modern comfort in this beautifully renovated true studio residence. Looking for convenience and comfort? This renovated studio has everything you need. • In-unit washer & dryer • Dishwasher
34,1095,2,Bushwick,2.33,2026-06-07,Modern Apartment 2 Bed Available Now – Don't Miss Out!,https://sfbay.craigslist.org/sfc/apa/d/brooklyn-modern-apartment-bed-available/7939347291.html,"Charming Renovated ,2 Bedroom , Living room, Private Bathroom, Double pane windows,Granite counter tops, Gas stove ,Modern kitchen & Hardwood floors. Furnished .All you need is a bed. A peaceful sun f"
31,850,1,"New York, NY",3.33,2026-06-07,"Spacious 1-Bedroom, 1.5-Bathroom Condo at New York",https://sfbay.craigslist.org/sfc/apa/d/new-york-spacious-bedroom-15-bathroom/7939356838.html,"FURNISHED,1 Bedroom , Living room, Private Bathroom, Double pane windows, Granite counter tops, Gas stove ,Modern kitchen & Hardwood floors. Furnished .All you need is a bed. A peaceful sun filled com"
