score,price,bedrooms,neighborhood,distance_miles,posted_date,title,url,description
40,1130,1,Clinton Hill,1.07,2026-06-09,Stunning Loft 1BR in Clinton Hill | 14’ Ceilings + Bay Windows,https://newyork.craigslist.org/brk/apa/d/brooklyn-stunning-loft-1br-in-clinton/7939758324.html,"Stunning loft-style 1-bedroom in a classic Clinton Hill brownstone at 124 Willoughby Ave #1. This home sits on a peaceful, tree-lined street and offers a bright, open layout filled with character. Apa"
38,1250,2,North Park Slope,0.87,2026-06-09,"Charming Park Slope 1BR w/ French Doors, Exposed Brick | Prime 5th Ave",https://newyork.craigslist.org/brk/apa/d/brooklyn-charming-park-slope-1br-french/7939758113.html,"Charming 1-bedroom apartment located on vibrant 5th Ave in the heart of North Park Slope, offering the perfect blend of classic Brooklyn character and unbeatable location. Inside, the home features a "
36,850,1,Bushwick,2.31,2026-06-09,1 bedroom / 1 bath home for rent in Bushwick@@@,https://sfbay.craigslist.org/sfc/apa/d/brooklyn-bedroom-bath-home-for-rent-in/7939766745.html,"One bedroom garden level apartment with large walk-in closet is ready for you to live the exciting urban yet quiet life. Located in the heart of NOPA, the home enjoys one of the most enviable location"
21,1324,2,Astoria,2.44,2026-06-09,Astoria 2 bedroom,https://longisland.craigslist.org/apa/d/new-york-astoria-bedroom/7939766571.html,"2BR / 1Ba available jul 1 rent period: monthly cats are OK - purrr apartment dogs are OK - wooof w/d in unit street parking no smoking Washer/Dryer, Heating, Ceiling Fans, High Speed Internet Access, "
20,900,2,"Jersey City, NJ",3.72,2026-06-08,Welcome to your new home in the heart of Downtown Jersey City!,https://newjersey.craigslist.org/apa/d/jersey-city-welcome-to-your-new-home-in/7939745000.html,"Welcome to your new home in the heart of Downtown Jersey City! This inviting 2-bedroom, 1-bath apartment features updated flooring, high ceilings, and modern appliances, offering a comfortable and sty"
19,1200,1,Bushwick @ Halsey J,3.53,2026-06-08,Full sized apartment & Private Bathroom Avail ASAP,https://newyork.craigslist.org/brk/apa/d/brooklyn-full-sized-apartment-private/7939666070.html,Available for ASAP move in! Private room in SRO building for rent w/ Private Bathroom! Can fit full sized bed. - AC/Heating - $200/utility fee/month (ALL UTILITIES) - No pets Room size 8’ 9” x 7’ 10” 
14,1149,2,"2250 Clarendon Rd Unit 3, Brooklyn, NY",3.56,2026-06-09,"2BR/1BA Brooklyn, NY 11226– $1150/mo – Pets OK – No Smoking!!",https://longisland.craigslist.org/apa/d/brooklyn-2br-1ba-brooklyn-ny-mo-pets-ok/7939755832.html,"Two bedrooms with central air and heat, hardwood floors, stainless steel appliances, and an updated kitchen and bath that feel clean and comfortable. You've also got a shared deck, extra storage, and "
5,1400,2,Brooklyn,3.84,2026-06-09,Spacious 2-Bedroom Apartment with Bonus Room,https://newyork.craigslist.org/brk/apa/d/brooklyn-spacious-bedroom-apartment/7939787474.html,"Sun filled Bright & Spacious 1-Bedroom Apartment with Bonus Room 128 East 93rd St, Brownsville Rent: $1,400/month This bright and comfortable 2-bedroom, 1-bath apartment offers a practical layout with"
0,,,,,2026-06-09,Bernard Brooklyn Home Brooklyn,https://amberstudent.com/places/bernard-brooklyn-home-brooklyn-2207181201880,
0,,,,,2026-06-09,Cornelius Bushwick Home Brooklyn,https://amberstudent.com/places/cornelius-bushwick-home-brooklyn-2207158468241,
0,,,,,2026-06-09,141 Hart St Brooklyn,https://amberstudent.com/places/141-hart-st-brooklyn-2305121841186?gallery=true&galleryId=267205&tab=all,
0,,,,,2026-06-09,Crown 1162 New York,https://amberstudent.com/places/crown-1162-new-york-2406222677253,
0,,,,,2026-06-09,354 93 Street Brooklyn,https://streeteasy.com/building/354-93-street-brooklyn/1?utm_campaign=rental_listing&utm_medium=share&utm_source=web&lstt=DNNub5DBsGTeGacQ3du7AsAjEFNeE4shFtRyxcgrXzpJ5YoRaqfvy78Y2M7o-Z4XwdNOakWqfQO5RTz8,
0,,,,,2026-06-09,1273 Rogers Avenue Brooklyn,https://streeteasy.com/building/1273-rogers-avenue-brooklyn/2d?utm_campaign=rental_listing&utm_medium=share&utm_source=web&lstt=NAG-7ybC-ej1nfSJB2R43dfg0fV1Af2X3bBmsVh49XnVGcBrmWCsiUACs2SP2YYaxfERq7d79NNZsaBw,
0,,,,,2026-06-09,Ttb76F5Dhiqojcpp7,https://goo.gl/maps/TTB76f5dHiQojCPP7,
0,,,,,2026-06-09,V6Nk3Bfjz8Vk2Ob56,https://maps.app.goo.gl/V6Nk3BfJz8vk2ob56,
0,1500,1,Brooklyn,4.19,2026-06-09,"1273 Rogers Avenue #2D in Flatbush, Brooklyn",https://streeteasy.com/building/1273-rogers-avenue-brooklyn/2d?utm_campaign=rental_listing&utm_medium=share&utm_source=web&lstt=7y9AK3TginYu4BbxLD_B2NEEj32YA-ktWuTZJb3NHsfJnT_rFqvjo8NzztngzrvEwV0uGcy1twseuTji,"1273 Rogers Avenue, Brooklyn, Ny, 11226: *Welcoming 1BR with Great Flow & Comfortable Everyday Living* This charming 1-bedroom home offers a layout that feels both ..."
0,1395,,Fort Hamilton,5.69,2026-06-09,"354 93rd Street #1 in Fort Hamilton, Brooklyn",https://streeteasy.com/building/354-93-street-brooklyn/1?utm_campaign=rental_listing&utm_medium=share&utm_source=web&lstt=mXMIw2l602eCDgZ8UYod8bVqGCF_D3CLiNjRkuRpdVmS4MjaoMey6kUwR4jT7eKUQ2ijXudmY27AKW1W,"354 93rd Street, Brooklyn, Ny, 11209: This 1 room studio apartment is located in a well-kept, prewar building in Bay Ridge. Enjoy a wide variety of nearby shops and ..."
0,1330,1,Brooklyn,3.05,2026-06-09,"99 Kingsland Ave for $1,330/month on PadMapper",https://www.padmapper.com/rentals/20493753p/1-bedroom-1-bath-apartment-at-99-kingsland-ave-new-york-ny-11222#back=%2Fapartments%2Fbrooklyn-ny%2Funder-1500%3Fbox%3D-74.04241%2C40.56616%2C-73.83336%2C40.73944,"99 Kingsland Ave is a 1 bed, 1 bath apartment in Williamsburg, New York. This apartment is listed for rent at $1,330/month. Search for other sublets, houses and apartment rentals in New York, then use"
